,,,,,,Year ended,Year ended
(in billions),"Balance,beginning",ofperiod,Inflows (1),Outflows (2),"Market impact (3)November1,2021",Sale of WFAM on,"Balance, end of period"
"December 31,2021",,,,,,,
Money market funds (4),$,197.4,,(6.3),一,(191.1),
Other assets managed,,405.6,69.3,(90.5),11.6,(396.0),1
Total WFAMassets under management$,,603.0,69.3,(96.8),11.6,(587.1),1
"December 31,2020",,,,,,,
Money market funds (4),$,130.6,66.8,,,,197.4
Other assets managed,,378.2,101.3,(104.7),30.8,,405.6
Total WFAM assets under management,$,508.8,168.1,(104.7),30.8,,603.0
"December 31,2019",,,,,,,
Money market funds (4),$,112.4,18.2,一,一,,130.6
Other assets managed,,353.5,75.1,(86.1),35.7,,378.2
Total WFAM assets under management,$,465.9,93.3,(86.1),35.7,,508.8
