Long-term debt and other instruments qualifying as Tier 2\t22,740\t24,387\t22,740\t24,387
tsv,,,,
Standardized Approach,Advanced Approach,,,
"Dec 31, 2021","Dec 31, 2020","Dec 31, 2021","Dec 31, 2020",
Total equity (1),"190,110","185,712",$,"190,110,185,712"
Effect of accounting policy changes (1),—,208,—,—
Total equity (as reported),"190,110","185,920","190,110","185,920"
Adjustments:,,,,
Preferred stock,"(20,057)","(21,136)","(20,057)","(21,136)"
Additional paid-in capital on preferred stock,136,152,136,152
Unearned ESOP shares,646,875,646,875
Noncontrolling interests,"(2,504)","(1,033)","(2,504)","(1,033)"
Total common stockholders' equity,$,"168,331","164,778","168,331,164,778"
Goodwill,"(25,180)","(26,392)","(25,180)","(26,392)"
Certain identifiable intangible assets (other than MSRs),(225),(342),(225),(342)
Goodwill\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,
Qualifying allowance for credit losses (4)\t14,149\t14,134\t4,421\t4,408
Other\t(279)\t(188)\t(279)\t(188),,,,
Total Tier 2 capital (fully phased-in)\t(B)\t$36,610\t38,333\t26,882\t28,607
Effect of Basel III transition requirements\t27\t131\t27\t131,,,,
Total Tier 2 capital (Basel III transition requirements)\t$36,637\t38,464\t26,909\t28,738
Total qualifying capital (fully phased-in)\t(A)+(B)\t$196,281\t196,529\t186,553\t186,803
Total Effect of Basel III transition requirements\t27\t131\t27\t131,,,,
Total qualifying capital (Basel III transition requirements)\t$196,308\t196,660\t186,580\t186,934
Risk-Weighted Assets (RWAs)(5):\t\t\t\t,,,,
Credit risk\t1,186,810\t1,125,"813\t$747,714\t752,999"
Market risk\t52,216\t67,931\t52,216\t67,931
Operational risk\t\t\t316,138\t337,425,,
Total RWAs\t$1,239,026\t1,193,"744\t1,116,068\t1,158,355"
