,,,,,,"December 31,2021","December 31,2021"
,After five,After five,After five,After five,After five,Loans maturing after one year,Loans maturing after one year
,After,After,After,After,After,,
,Within one,one year through,years through fifteen,After fifteen,,Fixed interest,Floating/ variable interest
(in millions),year,five years,years,years,Total,rates,rates
Commercial:,,,,,,,
Commercial and industrial,"$127,237","199,907","22,510",782,"350,436","22,827","200,372"
Real estate mortgage,"27,847","74,775","23,329","1,782","127,733","20,283","79,603"
Real estate construction,"8,147","11,541",394,10,"20,092",254,"11,691"
Lease financing,"3,519","10,178","1,083",79,"14,859","11,340",一
Total commercial,"166,750","296,401","47,316","2,653","513,120","54,704","291,666"
Consumer:,,,,,,,
Residential mortgage-first lien,"10,489","28,557","82,159","121,065","242,270","163,105","68,676"
Residential mortgage-junior lien,"1,018",968,"2,567","12,065","16,618","4,299","11,301"
Credit card,"38,453",一,,,"38,453",,1
Auto,"13,034","40,120","3,505",1,"56,659","43,625",1
Other consumer,"25,148","2,846",252,28,"28,274","2,465",661
Total consumer,"88,142","72,491","88,483","133,158","382,274","213,494","80,638"
Total loans,"$ 254,892","368,892","135,799","135,811","895,394","268,198","372,304"
