"(in millions,except per share amounts)","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,"
"(in millions,except per share amounts)",,,,,,,
"(in millions,except per share amounts)",2021,2020,$Change 2021/ 2020,%Change 2021/ 2020,2019,$Change 2020/ 2019,% Change 2020/ 2019
Income statement,,,,,,,
Net interest income,"35,779","39,956","(4,177)",(10)%,"$ 47,303","(7,347)",(16)%
Noninterest income,"$ 42,713","34,308","8,405",24,"39,529","(5,221)",(13)
Total revenue,"78,492","74,264","4,228",6,"86,832","(12,568)",(14)
Net charge-offs,"1,582","3,370","(1,788)",(53),"2,762",608,22
Change in the allowance for credit losses,"(5,737)","10,759","(16,496)",NM,(75),"10,834",NM
Provision for credit losses,"(4,155)","14,129","(18,284)",NM,"2,687","11,442",426
Noninterest expense,"53,831","57,630","(3,799)",(7),"58,178",(548),(1)
Net income before noncontrolling interests,"23,238","3,662","19,576",535,"20,206","(16,544)",(82)
Less: Net income from noncontrolling interests,"1,690",285,"1,405",493,491,(206),(42)
Wells Fargo net income,"21,548","3,377","18,171",538,"19,715","(16,338)",(83)
Earnings per common share,4.99,0.43,4.56,NM,4.12,(3.69),(90)
Diluted earnings per common share,4.95,0.43,4.52,NM,4.09,(3.66),(89)
Dividends declared per common share,0.60,1.22,(0.62),(51),1.92,(0.70),(36)
Balance sheet (at year end),,,,,,,
Debt securities,"537,531","501,207","36,324",7,"497,125","4,082",1
Loans,"895,394","887,637","7,757",1,"962,265","(74,628)",(8)
Allowance for loan losses,"12,490","18,516","(6,026)",(33),"9,551","8,965",94
Equity securities,"72,886","60,008","12,878",21,"66,439","(6,431)",(10)
Assets,"1,948,068","1,952,911","(4,843)",1,"1,925,753","27,158",1
Deposits,"1,482,479","1,404,381","78,098",6,"1,322,626","81,755",6
Long-term debt,"160,689","212,950","(52,261)",(25),"228,191","(15,241)",(7)
Common stockholders'equity,"168,331","164,570","3,761",2,"166,387","(1,817)",(1)
Wells Fargo stockholders'equity,"187,606","184,680",2.926,2,"186,864","(2,184)",(1)
Totalequity,"190,110","185,712","4,398",2,"187,702","(1,990)",(1)
