(in millions),"Year ended December 31,","Year ended December 31,","Year ended December 31,"
Income,,,
Dividends from subsidiaries (1),"17,895","42,578","21,930"
Interest income from subsidiaries,"3,934","1,295","3,356"
Other interest income,1,3,43
Other income,(418),(231),(162)
Total income,"21,412","43,645","25,167"
Expense,,,
Interest expense:,,,
Indebtedness to nonbank subsidiaries,"89,155",664,
Long-term debt,"2,823","3,591","4,931"
Other,,1,2
Noninterest expense,309,794,"1,327"
Total expense,"3,221","4,540","6,924"
Income before income tax benefit and equity in undistributed income of subsidiaries,"18,191","39,105","18,243"
Income tax benefit,(819),"(1,694)",(945)
Equity in undistributed income of subsidiaries (2),"2,538","(37,422)",527
Net income (2),"21,548","3,377","19,715"
