,Carrying,Estimated fair value,Estimated fair value,Estimated fair value,Estimated fair value,Estimated fair value
(in millions),amount,,Level1,Level2,Level3,Total
"December 31,2021",,,,,,
Financial assets,,,,,,
Cash and due from banks (1),$,"24,616","24,616",1,1,"24,616"
Interest-earning deposits with banks (1),,"209,614","209,452",162,1,"209,614"
Federal funds sold and securities purchased under resale agreements (1),,"66,223",1,"66,223",1,"66,223"
Held-to-maturity debt securities,,"272,022","16,825","252,717","2,844","272,386"
Loans held for sale,,"7,722",1,"6,300","1,629","7,929"
"Loans, net (2)",,"868,278",1,"63,404","820,559","883,963"
Nonmarketable equity securities (cost method),,"3,584",1,二,"3,646","3,646"
Total financial assets,$,"1,452,059","250,893","388,806","828,678","1,468,377"
Financial liabilities,,,,,,
Deposits (3),$,"30,012",一,"14,401","15,601","30,002"
Short-term borrowings,,"34,409",一,"34,409",1,"34,409"
Long-term debt (4),,"160,660",1,"166,682","1,402","168,084"
Total financial liabilities,$,"225,081",二,"215,492","17,003","232,495"
"December31,2020",,,,,,
Financial assets,,,,,,
Cash and due from banks (1),$,"28,236","28,236",1,,"28,236"
Interest-earning deposits with banks (1),,"236,376","236,258",118,1,"236,376"
Federal funds sold and securities purchased under resale agreements (1),,"65,672",1,"65,672",1,"65,672"
Held-to-maturity debt securities,,"205,720","48,597","162,777",933,"212,307"
Loans held for sale,,"17,578",1,"14,952","3,419","18,371"
"Loans, net (2)",,"853,595",1,"56,270","817,827","874,097"
Nonmarketable equity securities (cost method),,"3,588",二,二,"3,632","3,632"
Total financial assets,$,"1,410,765","313,091","299,789","825,811","1,438,691"
Financial liabilities,,,,,,
Deposits (3),$,"52,807",,"33,321","19,940","53,261"
Short-term borrowings,,"58,999",,"58,999",1,"58,999"
Long-term debt (4),,"212,922",,"219,321","1,381","220,702"
Total financial liabilities,$,"324,728",一,"311,641","21,321","332,962"
