"December 31,",2021,2020
(in millions),Commercial:,"Commercial and industrial,793,1,933"
,Real estate mortgage,"543,774"
,Real estate construction,"2,15"
,Lease financing,"10,9"
,Total commercial TDRs,"1,348,2,731"
,Consumer:,"Residential mortgage – first lien,7,282,9,764"
,Residential mortgage – junior lien,"946,1,237"
,Credit card,"309,458"
,Auto,"169,176"
,Other consumer,"57,67"
,Trial modifications,"71,90"
,Total consumer TDRs,"8,834,11,792"
,Total TDRs,"$,10,182,14,523"
,TDRs on nonaccrual status,"$,3,142,4,456"
,TDRs on accrual status:,"Government insured/guaranteed,2,462,3,721"
,Non-government insured/guaranteed,"4,578,6,346"
,Total TDRs,"$,10,182,14,523"
