,,,Within,After one year through,After five years through,After
By remaining contractual maturity($ in millions),,Total,one year,fiveyears,tenyears,ten years
"December 31,2021",,,,,,
Held-to-maturity debt securities (l):,,,,,,
Securities of U.S.Treasury and federal agencies,,,,,,
"Amortized cost, net",$,"16,544",350,"12,410",,"3,784"
Fair value,,"16,825",350,"12,889",,"3,586"
Weighted average yield,,2.17%,1.55,2.37,,1.57
Securities of U.S.states and political subdivisions,$,,,,,
"Amortized cost, net",,"32,689","1,338","3,243","2,126","25,982"
Fair value,,"33,475","1,350","3,307","2,191","26,627"
Weighted average yield,,2.10%,2.34,1.31,2.59,2.15
Federalagency mortgage-backed securities,,,,,,
"Amortized cost, net",$,"188,909",,,一,"188,909"
Fair value,,"187,984",,,,"187,984"
Weighted average yield,,2.15%,,,,2.15
Non-agency mortgage-backed securities,$,,,,,
"Amortized cost, net",,"1,082",15,13,29,"1,025"
Fair value,,"1,095",15,13,30,"1,037"
Weighted average yield,,2.99%,1.55,2.90,3.16,3.00
Collateralized loan obligations,,,,,,
"Amortized cost, net",$,"31,067",,,"13,019","18,048"
Fair value,,"31,259",,1,"13,153","18,106"
Weighted average yield,,1.53%,,,1.60,1.48
Other debt securities,,,,,,
"Amortized cost, net",$,"1,731",,764,967,一
Fair value,,"1,748",,767,981,
Weighted average yield,,4.51%,,4.13,4.81,一
Total held-to-maturity debt securities,,,,,,
"Amortized cost, net",$,"272,022","1,703","16,430","16,141","237,748"
Fair value,,"272,386","1,715","16,976","16,355","237,340"
Weighted average yield,,2.09%,2.17,2.24,1.92,2.09
