($ in millions),"Dec 31, 2021",Loans as % of total loans,"Dec 31, 2020",Loans as % of total loans
Commercial:,ACL,ACL,ACL,ACL
Commercial and industrial,"$ 4,873",39 %,"$ 7,230",36 %
Real estate mortgage,"2,085",14,"3,167",14
Real estate construction,431,2,410,2
Lease financing,402,2,709,2
Total commercial,"7,791",57,"11,516",54
Consumer:,Residential mortgage – first lien,"1,156",28,"1,600,31"
Residential mortgage – junior lien,130,2,653,3
Credit card,"3,290",4,"4,082",4
Auto,928,6,"1,230",5
Other consumer,493,3,632,3
Total consumer,"5,997",43,"8,197",46
Total,"$ 13,788",100 %,"$ 19,713",100 %
Components:,Allowance for loan losses,"$ 12,490","18,516",
Allowance for unfunded credit commitments,"1,298","1,197",,
Allowance for credit losses,"$ 13,788","19,713",,
Ratio of allowance for loan losses to total net loan charge-offs,7.94x,5.63,,
Ratio of allowance for loan losses to total nonaccrual loans,1.73,2.12,,
Allowance for loan losses as a percentage of total loans,1.39 %,2.09,,
Allowance for credit losses for loans as a percentage of total loans,1.54,2.22,,
