,,,$Change 2021/,%Change 2021/,,$Change 2020/,% Change
(in millions),2021,2020,2020,2020,2019,2019,2020/ 2019
Selected Balance Sheet Data (average),,,,,,,
Loans by Line of Business:,,,,,,,
Home Lending,"$ 224,446","268,586","(44,140)",(16)%,"$276,962","(8,376)",(3)%
Auto,"52,293","49,460","2,833",6,"47,117","2,343",5
Credit Card,"35,471","37,093","(1,622)",(4),"38,865","(1,772)",(5)
Small Business,"16,625","15,173","1,452",10,"9,951","5,222",52
Personal Lending,"5,050","6,151","(1,101)",(18),"6,871",(720),(10)
Total loans,"$333,885","376,463","(42,578)",(11),"$ 379,766","(3,303)",(1)
Total deposits,"834,739","722,085","112,654",16,"629,110","92,975",15
Allocated capital,"48,000","48,000",1,一,"46,000","2,000",4
Selected Balance Sheet Data (period-end),,,,,,,
Loans by Line of Business:,,,,,,,
Home Lending,"$214,407","253,942","(39,535)",(16),"$278,325","(24,383)",(9)
Auto,"57,260","49,072","8,188",17,"49,124",(52),1
Credit Card,"38,453","36,664","1,789",5,"41,013","(4,349)",(11)
Small Business,"11,270","17,743","(6,473)",(36),"9,695","8,048",83
Personal Lending,"5,184","5,375",(191),(4),"6,845","(1,470)",(21)
Total loans,"$326,574","362,796","(36,222)",(10),"$ 385,002","(22,206)",(6)
Total deposits,"883,674","784,565","99,109",13,"647,152","137,413",21
