Allowance for loan losses\t12,490\t18,516
"Dec 31, 2021","Dec 31, 2020",
Assets,,
Cash and due from banks,"$,24,616,28,236",
Interest-earning deposits with banks,"209,614,236,376",
"Total cash, cash equivalents, and restricted cash","234,230,264,612",
Federal funds sold and securities purchased under resale agreements,"66,223,65,672",
Debt securities:,,
"Trading, at fair value","88,265,75,095",
"Available-for-sale, at fair value (includes amortized cost of $175,463 and $215,533, net of allowance for credit losses)","177,244,220,392",
"Held-to-maturity, at amortized cost, net of allowance for credit losses (fair value $272,386 and $212,307)","272,022,205,720",
"Loans held for sale (includes $15,895 and $18,806 carried at fair value)","23,617,36,384",
Loans,"895,394,887,637",
Allowance for loan losses,"(12,490),(18,516)",
Net loans,"882,904,869,121",
"Mortgage servicing rights (includes $6,920 and $6,125 carried at fair value)","8,189,7,437",
"Premises and equipment, net","9,571,9,895",
Net loans\t882,904\t869,121
Mortgage servicing rights (includes $6,920 and $6,"125 carried at fair value)\t8,189\t7,437"
Premises and equipment,net\t8,"571\t8,895"
Goodwill\t25,180\t26,392
Derivative assets\t21,478\t25,846
Equity securities (includes $39,098 and $34,"009 carried at fair value)\t72,886\t60,008"
Other assets\t67,259\t87,337
Total assets (1)\t$1,948,"068\t1,952,911"
Noninterest-bearing deposits\t$527,748\t467,068
Interest-bearing deposits\t954,731\t937,313
Total deposits\t1,482,"479\t1,404,381"
Short-term borrowings\t34,409\t58,999
Derivative liabilities\t9,424\t16,509
Accrued expenses and other liabilities (includes $20,685 and $22,"441 carried at fair value)\t70,957\t74,360"
Long-term debt\t160,689\t212,950
Total liabilities (2)\t1,757,"958\t1,767,199"
tsv,,
"Accrued expenses and other liabilities (includes $20,685 and $22,441 carried at fair value)","70,957","74,360"
Long-term debt,"160,689","212,950"
Total liabilities (2),"1,757,958","1,767,199"
Wells Fargo stockholders' equity:,,
Preferred stock,"20,057","21,136"
"Common stock - $1-2/3 par value, authorized 9,000,000,000 shares; issued 5,481,811,474 shares","9,136","9,136"
Additional paid-in capital,"60,196","60,197"
Retained earnings,"180,322","162,683"
Cumulative other comprehensive income (loss),"(1,702)",194
"Treasury stock - 1,596,009,977 shares and 1,337,799,931 shares","(79,757)","(67,791)"
Unearned ESOP shares,(646),(875)
Total Wells Fargo stockholders' equity,"187,606","184,680"
Noncontrolling interests,"2,504","1,032"
Total equity,"190,110","185,712"
Total liabilities and equity,$,"1,948,068,1,952,911"
