,,,,,"Year ended December 31,","Year ended December 31,"
,,2021,,2020,,2019
(in millions),Residential mortgages,Commercial mortgages,Residential mortgages,Commercial mortgages,Residential mortgages,Commercial mortgages
Assets sold,"$ 157,063","18,247","177,441","11,744","142,469","18,191"
Proceeds from transfer (1),"157,852","18,563","177,478","12,034","142,535","18,521"
Net gains (losses) on sale,789,316,37,290,66,330
Continuing involvement (2):,$,,,,,
Servicing rights recognized,"1,636",166,"1,808",161,"1,896",161
Securities recognized (3),"23,188",173,"31,567",112,,289
Loans recognized,926,1,一,一,,一
