,"Year ended December 31,","Year ended December 31,","Year ended December 31,"
(in millions),2021,2020,2019
Net gains (losses) from equity securities carried at fair value:,,,
Marketable equity securities,(202),63,"1,067"
Nonmarketable equity securities,(188),"1,414","2,413"
Total equity securities carried at fair value,(390),"1,477","3,480"
Net gains (losses) from nonmarketable equity securities not carried at fair value (1):,,,
Impairment write-downs,(121),"(1,655)",(245)
Net unrealized gains (2)(3),"4,862","1,651",567
Net realized gains on sale (3),"1,581",359,"1,161"
Total nonmarketable equity securities not carried at fair value,"6,322",355,"1,483"
Net gains (losses) from economic hedge derivatives,495,"(1,167)","(2,120)"
Total net gains (losses)from equity securities not held for trading,"6,427",665,"2,843"
