,"Year ended December 31,","Year ended December 31,","Year ended December 31,"
,2021,2020,2019
Performance ratios,,,
Return on average assets (ROA) (1),1.11%,0.17,1.03
Return on average equity (ROE) (2),12.0,1.1,10.4
Return on average tangible common equity (ROTCE) (3),14.3,1.3,12.4
Efficiency ratio (4),69,78,67
Capital and other metrics (5),,,
At year end:,,,
Wells Fargo common stockholders'equity to assets,8.64,8.43,8.64
Total equity to assets,9.76,9.51,9.75
Risk-based capital ratios and components (6):,,,
Standardized Approach:,,,
Common Equity Tier1(CET1),11.35,11.59,11.14
Tier 1 capital,12.89,13.25,12.76
Total capital,15.84,16.47,15.75
Risk-weighted assets (RWAs)(in billions),"1,239.0","1,193.7","1,245.9"
Advanced Approach:,,,
Common Equity Tier 1 (CET1),12.60%,11.94,11.91
Tier 1 capital,14.31 16.72,13.66,13.64
Total capital,"1,116.1",16.14,16.16
Risk-weighted assets (RWAs) (in billions),$,"1,158.4","1,165.1"
Tier l leverage ratio Supplementary Leverage Ratio (SLR),8.34%,8.32,8.31
,6.89,8.05,7.07
Total Loss Absorbing Capacity (TLAC) Ratio (7),23.03,25.74,23.28
Liquidity Coverage Ratio (LCR) (8),118,133,120
Average balances:,8.73,8.43,
Average Wells Fargo common stockholders'equity to average assets,,,9.15
Average total equity to average assets,9.85,9.51,10.31
Per common share data,12.1,,
Dividend payout ratio (9),,283.7,46.9
Book value (10),$ 43.32,39.71,40.24
