(in millions),Consumer Banking and Lending,Commercial Banking,Corporate and Investment Banking,Wealth and Investment Management,Corporate,Reconciling Items (1),Consolidated Company
"Year ended December 31,2021",$,,"4,960",,,,
Net interest income (2),"22,807",,"7,410","2,570","(1,541)",(427),"35,779"
Noninterest income: Deposit-related fees,,,"1,112",28,5,一,"5,475"
Lending-related fees (2),,"1,285",,,(1),1,"1,445"
Investment advisory and other asset-based fees (3),,532,761,"8 9,574","1,375",,"11,011"
Commissions and brokerage services fees,,,52 290,"2,010",(1),,"2,299"
Investment banking fees,,,"2,405",1,（94),,"2,354"
Card fees:,,,,,,,
Card interchange and network revenues (4),"3,426",196,45,4,1,,"3,671"
Other card fees (2),,196,,,1,,504
Total card fees,"3,930",,,,1,1,"4,175"
Mortgage banking (2),"4,490",,480,(12),(2),一,"4,956"
Net gains (losses) from trading activities (2),,,272,21,(9),一,284
Net gains on debt securities (2),,,,,509,1,553
Net gains (losses) from equity securities (2),,132,289,,"5,929",1,"6,427"
Lease income (2),,682 655,,,281,1,996
Other (2),,"3,589",690,,"2,044","(1,187)","2,738"
Total noninterest income,,,,,"10,036","(1,187)","42,713"
Totalrevenue,,"34,877","8,549","13,839","14,346","8,495","78,492"
"Year ended December 31,2020 Net interest income (2)",$,"23,378","6,134","7,509","2,988",,
Noninterest income:,,,,,,(494),"39,956"
Deposit-related fees,,,,,,,"5,221"
Lending-related fees (2),,,"1,062",,,,"1,381"
Investment advisory and other asset-based fees (3),,,,"8,085","1,651",,"9,863"
Commissions and brokerage services fees,,,,"2,078",(9),,"2,384"
Investment banking fees,,,"1,952",,(169),,"1,865"
Card fees:,"2,805",,,,,,
Card interchange and network revenues (4) Other card fees (2),,,,,,,"3,030"
Total card fees,,,,,,,514
Mortgage banking (2),,,,,,,"3,544 3,493"
Net gains (losses) from trading activities (2),,,,,,,
,,,"1,190",,(40),,"1,172"
Net gains on debt securities (2),,,,,867,,873
Net gains (losses) from equity securities (2),,,,(101),691,,665
Lease income (2),"1,025",,,,579,1,"1,245"
Other (2),"10,638",,,"10,225","1,336 4,916",(931) (931),"2,602"
Total noninterestincome,,,,"6,419",,,"34,308"
"Totalrevenue Year ended December 31,2019",$,"34,016","9,175","13,928","13,213","5,357","74,264"
Net interest income (2),$,"25,786","7,981","8,008","3,906","2,246","47,303"
Noninterest income:,,,,,,,
Deposit-related fees Lending-related fees (2),,,"1,029",,,,"5,819 1,474"
Investment advisory and other asset-based fees (3),,,710,"7,909","2 1,816",,"9,814"
Commissions and brokerage services fees,,,62 292,"2,170",(1),,"2,461"
Investment banking fees,,,"1,804",,(93),,"1,797"
Card fees:,,,,,,,
Card interchange and network revenues (4),,,,,6,,"3,318"
Other card fees (2),,,,,(1),,698
Total card fees,,,,,5,,"4,016 2,715"
Mortgage banking (2) Net gains (losses) from trading activities (2),,,"1,022",,（79),,
