"December 31, 2021",Derivative Assets,Derivative Liabilities
Interest rate contracts,,
Over-the-counter (OTC),$,"20,067,16,654"
OTC cleared,168,192
Exchange traded,52,28
Total interest rate contracts,"20,287","16,874"
Commodity contracts,,
OTC,"5,040","1,249"
Exchange traded,557,"1,047"
Total commodity contracts,"5,597","2,296"
Equity contracts,,
OTC,"6,132","9,730"
Exchange traded,"7,493","6,086"
Total equity contracts,"13,625","15,816"
Foreign exchange contracts,,
OTC,"6,335","6,221"
Total foreign exchange contracts,"6,335","6,221"
Credit contracts,,
OTC,32,31
Total credit contracts,32,31
"Total derivatives subject to enforceable master netting arrangements, gross","45,876","41,238"
Less: Gross amounts offset,,
Counterparty netting (1),"(27,172)","(27,046)"
Cash collateral netting,"(4,258)","(9,486)"
"Total derivatives subject to enforceable master netting arrangements, net","14,446","4,706"
Derivatives not subject to enforceable master netting arrangements,"7,032","4,718"
"Total derivatives recognized in consolidated balance sheet, net","21,478","9,424"
Non-cash collateral not offset,"(1,432)",(412)
"Total Derivatives, net (2)",$,"20,046,9,012"
"December 31, 2020",Derivative Assets,Derivative Liabilities
Interest rate contracts,,
Over-the-counter (OTC),"30,958","24,048"
OTC cleared,"1,156","1,099"
Exchange traded,11,27
Total interest rate contracts,"32,125","25,174"
Commodity contracts,,
OTC,"1,498","1,009"
Exchange traded,287,452
Total commodity contracts,"1,785","1,461"
Equity contracts,,
OTC,"7,747","11,068"
Exchange traded,"4,759","4,733"
Total equity contracts,"12,506","15,801"
Foreign exchange contracts,,
OTC,"8,088","7,603"
Total foreign exchange contracts,"8,088","7,603"
Credit contracts,,
OTC,55,43
Total credit contracts,55,43
"Total derivatives subject to enforceable master netting arrangements, gross","54,559","50,082"
Less: Gross amounts offset,,
Counterparty netting (1),"(34,304)","(34,106)"
Cash collateral netting,"(5,532)","(7,450)"
"Total derivatives subject to enforceable master netting arrangements, net","14,723","8,526"
Derivatives not subject to enforceable master netting arrangements,"11,123","7,983"
"Total derivatives recognized in consolidated balance sheet, net","25,846","16,509"
Non-cash collateral not offset,"(2,157)","(3,588)"
"Total Derivatives, net (2)",$,"23,689,12,921"
