"($ in millions, except per share amounts)",As reported,LIHTC,Solar,As revised
Selected Income Statement Data,,,,
Interest income – loans,"34,109",-,121,"34,230"
Noninterest income,"32,505","1,507",296,"34,308"
Income tax expense (benefit),"(3,005)","1,431",417,"(1,157)"
Net income,"3,301",76,1,"3,377"
Earnings per common share,0.42,0.01,1,0.43
Diluted earnings per common share,0.41,0.02,-,0.43
Selected Balance Sheet Data,,,,
Equity securities,,,,"62,260"
Accrued expenses and other liabilities,,,,"76,404"
Retained earnings,,,,"162,890"
