Year ended,"Balance, beginning of period",Inflows (1),Outflows (2),Market impact (3),"Sale of WFAM on November 1, 2021","Balance, end of period"
(in billions),,,,,,
"December 31, 2021",$197.4,(6.3),-90.5,11.6,(191.1),405.6
Money market funds (4),,,,,,
Other assets managed,405.6,69.3,,,,1
Total WFAM assets under management,$603.0,69.3,-96.8,11.6,(587.1),
"December 31, 2020",$130.6,66.8,,,,405.6
Money market funds (4),,,,,,
Other assets managed,378.2,101.3,-104.7,30.8,,405.6
Total WFAM assets under management,$508.8,168.1,-104.7,30.8,,
"December 31, 2019",$112.4,18.2,,,,378.2
Money market funds (4),,,,,,
Other assets managed,353.5,75.1,-86.1,35.7,,378.2
Total WFAM assets under management,$465.9,93.3,-86.1,35.7,,
