($ in millions),"Quarter ended December 31,",Net loan charge-offs,% of avg. loans (1),"Year ended December 31,",Net loan charge-offs,% of avg. loans
2021 Commercial:,Commercial and industrial,$ 3,— %,$ 218,0.07 %,
,Real estate mortgage,22,0.07,53,0.04,
,Real estate construction,—,—,—,—,
,Lease financing,3,0.09,24,0.16,
,Total commercial,28,0.02,295,0.06,
Consumer:,Residential mortgage – first lien,110,0.18,53,0.02,
,Residential mortgage – junior lien,8,0.19,(70),(0.36),
,Credit card,150,1.61,800,2.26,
,Auto,58,0.41,181,0.35,
,Other consumer,67,0.96,315,1.22,
,Total consumer,393,0.41,"1,279",0.33,
,Total,$ 421,0.19 %,"$ 1,574",0.18 %,
2020 Commercial:,Commercial and industrial,$ 111,0.14 %,"$ 1,239",0.36 %,
,Real estate mortgage,162,0.53,283,0.23,
,Real estate construction,—,—,(19),(0.09),
,Lease financing,35,0.83,87,0.49,
,Total commercial,308,0.26,"1,590",0.31,
Consumer:,Residential mortgage – first lien,(3),—,(5),—,
,Residential mortgage – junior lien,(24),(0.39),(55),(0.21),
,Credit card,190,2.09,"1,139",3.07,
,Auto,51,0.43,270,0.56,
,Other consumer,62,0.88,350,1.10,
,Total consumer,276,0.26,"1,699",0.39,
,Total,$ 584,0.26 %,"$ 3,289",0.35 %,
