"Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates","Year ended December31,2021 2020 2019Interest Interest InterestAverage income/Interest Average income/ Interest Aerae income/ Interest(in millions)balanceexpenseratesbalanceexpenseratesexpenserates",,,,,
"AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544",,,,,,,,,
"AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","$186,386 547","$186,386 547",0.29%,"$135,741 2,875 2.12 %","$135,741 2,875 2.12 %","$135,741 2,875 2.12 %",,,
"AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","Federalfunds sold and securities purchased under resale agreements 69,720 14","Federalfunds sold and securities purchased under resale agreements 69,720 14",0.02,"82,798",393,0.47,"99,286","2,164",2.18
"AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","Federalfunds sold and securities purchased under resale agreements 69,720 14","Federalfunds sold and securities purchased under resale agreements 69,720 14",,,,,,,2.18
"AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544","AssetsInterest-earning deposits with banks $236,281 314 0.13 % $186,386 547Federalfunds sold and securities purchased under resale agreements 69,720 14 0.02 82,798 393Debt securities:Trading debt securities 88,282 2,107 2.39 94,731 2,544",2.39,"94,731","2,544",2.69,"93,655","3,149",3.36,,
"Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589",1.55,"229,077","5,248",2.29,"262,694","8,493",3.23,,,,,
"Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589","Available-for-sale debtsecurities 189,237 2,924Held-to-maturity debt securities 245,304 4,589",1.87,"173,505",3.841,2.21,"149,105 3.814","149,105 3.814",2.56,,,,,
"Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:",1.84,"497,313","11,633",2.34,"505,454 15,456","505,454 15,456",3.06,,,,,
"Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","Total debt securities 522,823 9,620Loans held for sale (2) 27,554 865Loans:","27,554 865","27,554 865","27,554 865",3.14,"27,493",947,3.45,"21,516",892,4.14,,
