Residential mortgage - junior lien,800+,760-799,720-759,680-719,640-679,600-639,< 600,No FICO available
(in millions)\t2020\t2019\t2018\t2017\t2016\tPrior\tRevolving loans\tRevolving loans converted to term loans\tTotal,,,,,,,,
December 31,2020,,,,,,,
Residential mortgage – first lien,,,,,,,,
800+\t$29,365\t28,652\t9,911\t17,416\t22,215\t40,440\t3,391\t493\t151,883
760-799\t17,154\t9,866\t2,908\t4,380\t4,955\t10,843\t1,361\t274\t51,741
720-759\t5,274\t3,290\t1,189\t1,829\t2,106\t7,001\t879\t265\t21,833,
680-719\t1,361\t1,084\t490\t678\t831\t4,403\t520\t221\t9,588,,,,
640-679\t376\t287\t148\t192\t226\t2,385\t241\t154\t4,009,,,,,,
600-639\t55\t56\t44\t56\t92\t1,429\t127\t106\t1,965,,,,,,
< 600\t14\t29\t36\t44\t66\t1,789\t162\t175\t2,315,,,,,,
No FICO available\t136\t135\t87\t125\t161\t1,831\t253\t372\t3,100,,,,,,
Government insured/guaranteed loans (1)\t215\t639\t904\t1,076\t2,367\t25,039\t—\t—\t30,240,,,,
Total residential mortgage – first lien\t53,950\t44,038\t15,717\t25,796\t33,019\t95,160\t6,934\t2,"060\t276,674"
Residential mortgage – junior lien,,,,,,,,
800+\t—\t—\t—\t—\t—\t—\t293\t7,973\t1,819\t10,085,,,,,
760-799\t—\t—\t—\t—\t—\t—\t177\t3,005\t1,032\t4,214,,,,,
720-759\t—\t—\t—\t—\t—\t—\t207\t2,093\t1,034\t3,334,,,,,
680-719\t—\t—\t—\t—\t—\t—\t183\t1,233\t854\t2,270,,,,,,
640-679\t—\t—\t—\t—\t—\t—\t192\t503\t493\t1,000,,,,,,,
293,177,207,183,103,67,76,22,"39,41,39,32"
"7,973","3,005","2,093","1,233",503,241,254,83,"441,15,743,6,181,23,286"
"1,819","1,032","1,034",854,493,299,374,276,973
Total residential mortgage - junior lien,22,39,41,39,32,"1,189","15,743","6,181,23,286"
Credit card,800+,760-799,720-759,680-719,640-679,600-639,< 600,No FICO available
"3,860","5,438","7,897","8,854","5,657","2,242","2,416",10,"3,861,5,445,7,926,8,914,5,721,2,288,2,498"
Total credit card,"36,374",290,"36,664",,,,,
Auto,800+,760-799,720-759,680-719,,,,
"2,875","3,036","3,162","3,534",,,,,
"2,606","2,662","2,514","2,542",,,,,
"1,211","1,122","1,095","1,066",,,,,
731,579,576,545,,,,,
452,349,395,400,,,,,
104,81,98,105,,,,,
"7,979","7,829","7,840","8,192",,,,,
Auto,,,,,,,,
800+,"2,875","2,606","1,211",731,452,104,"7,979",
760-799,"3,036","2,662","1,122",579,349,81,"7,829",
720-759,"3,162","2,514","1,095",576,395,98,"7,840",
680-719,"3,534","2,542","1,066",545,400,105,"8,192",
640-679,"3,381","1,948",763,395,334,94,"6,915",
600-639,"2,208","1,165",479,274,276,87,"4,489",
< 600,"1,581","1,357",730,463,533,186,"4,850",
No FICO available,13,37,5,10,18,10,93,
Total auto,"19,790","14,831","6,471","3,573","2,757",765,"48,187",
Other consumer,,,,,,,,
800+,353,287,94,35,10,71,"2,249","21,3,120"
760-799,342,279,93,29,10,34,"1,110","16,1,913"
720-759,262,258,107,35,11,30,915,"26,1,644"
680-719,156,213,99,36,11,24,798,"31,1,368"
640-679,71,112,59,21,7,10,415,"23,718"
600-639,18,36,22,9,4,8,151,"13,261"
< 600,13,41,30,12,5,7,161,"18,287"
No FICO available,195,173,83,88,3,16,"1,248","43,1,849"
FICO not required,—,—,—,—,—,—,"13,249","—,13,249"
Total other consumer,"1,410","1,399",587,265,61,200,"20,296","191,24,409"
Total consumer loans,$,"75,172","60,307","22,816","29,673","35,869","97,314","79,347,8,722,409,220"
