(in millions),Debt securities,Fair value hedges (1),Cash flow hedges (2),Defined benefit plans adjustments,Foreign currency translation adjustments,Cumulative other comprehensive income (loss)
"Balance,December31,2018","(3,122)",(178),（507),"(2,296)",(233),"(6,336)"
Transition adjustment (3),481,1,二,1,二,481
"Balance,January1,2019","(2,641)",(178),（507),"(2,296)",(233),"（5,855)"
Net unrealized gains (losses)arising during the period,"4,102",(2),(16),(30）,71,"4,125"
Amounts reclassified from accumulated other comprehensive income,91,1,225,103,二,419
Net change,"4,193",(2),209,73,71,"4,544"
Less: Other comprehensive income from noncontrolling interests,1,1,二,二,二,二
"Balance,December31,2019","1,552",(180),(298),"(2,223)",(162),"(1,311)"
Net unrealized gains (losses)arising during the period,"1,747",(24),8,(384),50,"1,397"
Amounts reclassified from accumulated other comprehensive income,(260),1,165,203,二,108
Net change Less: Other comprehensive income from noncontrolling interests,"1,487",(24),173,(181),50,"1,505"
"Balance,December31,2020",二,二,二,二,二,二
Net unrealized gains (losses)arising during the period,"3,039",（204),(125),"(2,404)",(112),194
Amounts reclassified from accumulated other comprehensive income,"(2,311)",61,（9),150,(29),"(2,138)"
,(64),二,107,199,(1,241
Net change Less: Other comprehensive loss from noncontrolling interests,"(2,375)",61,98 二,349,(30),"(1,897)"
,(1),二 (143),(27),"二 (2,055)",二 (142),(1)
"Balance,December31,2021",665,,,,,"(1,702)"
