"Year ended December 31,","Dec 31, 2021","Dec 31, 2020","Dec 31, 2021","Dec 31, 2020",2021,2020
(in millions),,,,,Nonaccrual loans,
Commercial:,,,,,,
Commercial and industrial,980,"2,698",190,382,97,78
Real estate mortgage,"1,235","1,774",66,93,66,31
Real estate construction,13,48,5,15,3,6
Lease financing,148,259,9,16,1,1
Total commercial,"2,376","4,779",270,506,166,115
Consumer:,,,,,,
Residential mortgage- first lien,"3,803","2,957","2,722","1,908",122,151
Residential mortgage- junior lien,801,754,497,461,53,52
Auto,198,202,1,1,34,20
Other consumer,34,36,1,,3,3
Total consumer,"4,836","3,949","3,219","2,369",212,226
Total nonaccrual loans,$,"8,728","3,489","2,875",,
