,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2020","December 31,2020","December 31,2020"
Level 2,Level 3,Total,Level 2,Level 3,,Total,
Loans held for sale (1),$,"3,911","1,407","5,318","2,672","2,945","5,617"
Loans:,,,,,,,
Commercial,,476,1,476,"1,385",,"1,385"
Consumer,,380,1,380,395,,395
Total loans,,856,二,856,"1,780",1,"1,780"
Mortgage servicing rights (commercial),,1,567,567,1,510,510
Nonmarketable equity securities,,"6,262",765,"7,027","2,397",790,"3,187"
Other assets,,"1,373",175,"1,548","1,350",428,"1,778"
Total assets at fair value on a nonrecurring basis,$,"12,402","2,914","15,316","8,199","4,673","12,872"
