,Shares issued and outstanding,Shares issued and outstanding,Carrying value,Carrying value,Adjustable dividend rate,Adjustable dividend rate
"(in millions,except shares)",De3,"Dec31, 2020","Dec 31, 2021","Dec31, 2020",Minimum,Maximum
ESOP Preferred Stock,,,,,,
"$1,000 liquidation preference per share",,,,,,
2018,"189,225","221,945",189,222,7.00%,8.00%
2017,"135,135","163,210",135,163,7.00,8.00
2016,"128,380","162,450",128,162,9.30,10.30
2015,"68,106","92,904",68,93,8.90,9.90
2014,"62,420","99,151",63,99,8.70,9.70
2013,"26,168","61,948",26,62,8.50,9.50
2012,二,"20,634",二,21,10.00,11.00
Total ESOP Preferred Stock (1),"609,434","822,242",609,822,,
Unearned ESOP shares (2),,,(646),(875),,
