(in millions),Mortgage banking,Net gains on trading and securities,Other,Total,Personnel expense
"Year ended December 31, 2021",,,,,
Net gains (losses) recognized on economic hedges derivatives:,,,,,
Interest contracts (1),$,(51),—,(11),"(62),—"
Equity contracts,—,495,(1),494,—
Foreign exchange contracts,—,—,335,335,—
Credit contracts,—,—,(12),(12),—
Subtotal,(51),495,311,755,(611)
Net gains (losses) recognized on customer accommodation trading and other derivatives:,,,,,
Interest contracts,62,"1,217",—,"1,279",—
Commodity contracts,—,133,—,133,—
Equity contracts,—,"(4,549)",(444),"(4,993)",—
Foreign exchange contracts,—,827,—,827,—
Credit contracts,—,(93),—,(93),—
Subtotal,62,"(2,465)",(444),"(2,847)",—
Net gains (losses) recognized related to derivatives not designated as hedging instruments,$,11,"(1,970)",(133),"(2,092),(611)"
"Year ended December 31, 2020",,,,,
Net gains (losses) recognized on economic hedges derivatives:,,,,,
Interest contracts (1),$,"2,787",—,(93),"2,694,—"
Equity contracts,—,"(1,167)",(25),"(1,192)",(778)
Foreign exchange contracts,—,—,(455),(455),—
Credit contracts,—,—,14,14,—
Subtotal,"2,787","(1,167)",(559),"1,061",(778)
Net gains (losses) recognized on customer accommodation trading and other derivatives:,,,,,
Interest contracts,"1,964","(1,021)",—,943,—
Commodity contracts,—,446,—,446,—
Equity contracts,—,(436),(334),(770),—
Foreign exchange contracts,—,89,—,89,—
Credit contracts,—,(1),—,(1),—
Subtotal,"1,964",(923),(334),707,—
Net gains (losses) recognized related to derivatives not designated as hedging instruments,$,"4,751","(2,090)",(893),"1,768,(778)"
"Year ended December 31, 2019",,,,,
Net gains (losses) recognized on economic hedges derivatives:,,,,,
Interest contracts (1),$,"2,177",—,1,"2,178,—"
Equity contracts,—,"(2,120)",(2),"(2,122)",—
Foreign exchange contracts,—,—,(77),(77),—
Credit contracts,—,—,(5),(5),—
Subtotal,"2,177","(2,120)",(83),(26),—
Net gains (losses) recognized on customer accommodation trading and other derivatives:,,,,,
Interest contracts,418,(95),—,323,—
Commodity contracts,—,164,—,164,—
Equity contracts,—,"(4,863)",(484),"(5,347)",—
Foreign exchange contracts,—,47,—,47,—
Credit contracts,—,(120),—,(120),—
Subtotal,418,"(4,867)",(484),"(4,933)",—
Net gains (losses) recognized related to derivatives not designated as hedging instruments,$,"2,595","(6,987)",(567),"(4,959),—"
