Year ended December 31, (in millions),2021,2020,2019
Net income before noncontrolling interests (1),"23,238","3,662","20,206",
Other comprehensive income (loss), after tax:,,,
Net change in debt securities,"(2,375)","1,487","4,193",
Net change in derivatives and hedging activities,159,149,207,
Defined benefit plans adjustments,349,(181),73,
Net change in foreign currency translation adjustments,(30),50,71,
Other comprehensive income (loss), after tax,"(1,897)","1,505","4,544"
Total comprehensive income before noncontrolling interests (1),"21,341","5,167","24,750",
Less: Other comprehensive loss from noncontrolling interests,(1),—,—,
Less: Net income from noncontrolling interests,"1,690",285,491,
Wells Fargo comprehensive income (1),"19,652","4,882","24,259",
