Year ended December 31,2021,2020,2019
Purchases of held-to-maturity debt securities (1),,,
Securities of U.S. Treasury and federal agencies,-,3,"016,757"
Securities of U.S. states and political subdivisions,5,198,"1,906,1,583"
Federal agency mortgage-backed securities,76,010,"51,320,6,610"
Non-agency mortgage-backed securities,235,126,288
Collateralized loan obligations,9,379,"688,-"
Total purchases of held-to-maturity debt securities,90,822,"57,056,9,238"
Transfers from available-for-sale debt securities to held-to-maturity debt securities:,,,
Securities of U.S. states and political subdivisions,2,954,"10,721,5,912"
Federal agency mortgage-backed securities,41,298,"5,522,7,921"
Collateralized loan obligations,10,003,"15,572,-"
Other debt securities,1,738,"-,-"
Total transfers from available-for-sale debt securities to held-to-maturity debt securities,$,55,"993,31,815,13,833"
