,Consumer Banking and Lending,Commercial Banking,Corporateand Investment Banking,Wealth and Investment Management,Corporate (1),Reconciling Items (2),Consolidated
"(in millions) Year ended December 31,2021",,,,,,,Company
Net interest income,$,"22,807","4,960 7,410","2,570","(1,541)",(427),"35,779"
Noninterest income,"12,070",,"3,589","6,429 11,776","10,036","(1,187)","42,713"
Total revenue,"34,877",,"13,839","14,346","8,495","(1,614)","78,492"
Provision for credit losses,"(1,178)",,"8,549 (1,500)","(1,439)",(95),,"(4,155)"
Noninterest expense,"24,648",,"5,862","11,734","57 4,387",1 1,"53,831"
Income (loss) before income tax expense (benefit),"11,407",,,"2,707","4,051","(1,614)","28,816"
Income tax expense (benefit),"2,852",,"4,187 1,045","8,078 2,019",,"(1,614)","5,578"
Net income before noncontrolling interests,"8,555",,"3,142","2,027","596 3,455",1,"23,238"
Less: Net income (loss from noncontrolling,,,,"6,059","1,685",1,
interests Net income,$,"1 8,555","8 3,134","（3) 6,062","1 2,027","1,770","1,690 21,548"
"Year ended December 31,2020",,,,,,,
Net interest income,$,"23,378","6,134","7,509",,(494),"39,956"
Noninterest income,,"10,638","3,041","6,419","4,916",(931),"34,308"
Total revenue,,"34,016","9,175","13,928","10,225","(1,425)","74,264"
Provision for credit losses,,"5,662","3,744","4,946","13,213 249",,"14,129"
Noninterest expense,"26,976",,"6,323","7,703",,,"57,630"
Income (loss) before income tax expense (benefit),1378,,(892),"10,912","5,716","1 (1,425)","2,505"
Income tax expense (benefit),302,,,"2,052 514",113 (670),"(1,425)","(1,157)"
Net income (loss) before noncontrolling interests,"1,076",,,"1,538",783,1,"3,662"
Less: Netincome (loss)from noncontrolling interests,,,(684),949,281,,
Net income (loss),$,"1 1,076",5 (689),(1),,1 1,285 3.377
"Year ended December 31,2019",,,,950,"1,538",,
Net interest income,$,"25,786","7,981",8.008,"3,906","2,246",
Noninterest income,,"12,105","3,721","6,442 10,506","7,550",(624) (795),"47,303 39,529"
Total revenue,"37,891",,"11,702","14,450 14,412","9,796","(1,419)","86,832"
Provision for credit losses,"2,184",,190,,,,"2,687"
Noninterest expense,"26,998",,,173,"4,983",,"58,178"
Income (loss) before income tax expense (benefit),,"8,709","6,598 4,914","7,432 6,845","12,167 2,243","(1,419)","25,967"
Income tax expense (benefit),,"2,814","1,246","1,658",,"(1,419)","5,761"
Net income before noncontrolling interests,,"5,895","3,668","5,187",,1,"20,206"
Less: Net income (loss) from noncontrolling interests,,,,,"1,681 1",,
Net income,,"1 5,895","6 3,662","(1) 5,188","1,681",1 一,"491 19,715"
