,Net interest income,Net interest income,Net interest income,Noninterest income,Total recorded in netincome,Total recorded in oCi
(in millions),Debt,,Long-term,,Derivative gains,Derivative gains
"Year ended December 31,2021",securities,Deposits,debt,Other,(losses),(losses)
Total amounts presented in the consolidated statement of income and other comprehensive income,"9,253",(388),"(3,173)","3,734",N/A,212
Interest contracts,,,,,,
Amounts related to interest settlements on derivatives,(253),289,"2,136",1,"2,172",
Recognized on derivatives,"1,129",(336),"(6,351)",,"(5,558)",一
Recognized on hedged items,"(1,117)",333,"6,288",1,"5,504",
Total gains (losses) (pre-tax) on interest rate contracts,(241),286,"2,073",1,"2,118",一
Foreign exchange contracts,,,,,,
Amounts related to interest settlements on derivatives,57,,10,1,67,
Recognized on derivatives,4,1,(516),（99),(611),81
Recognized on hedged items,(3),一,438,82,517,
Total gains (losses) (pre-tax) on foreign exchange contracts,58,二,(68),(17),(27),81
Total gains (losses) (pre-tax) recognized on fair value hedges,(183),286,"2,005",(17),"2,091",81
"Year ended December 31,2020 Totalamounts presented in the consolidated statement of income and other",,,,,,
comprehensive income Interest contracts,"11,234","(2,804)","(4,471)","3,847",N/A,198
Amounts related to interest settlements on derivatives,(338),503,"1,704",,"1,869",
Recognized on derivatives,"(1,261)",161,"6,691",,"5,591",
Recognized on hedged items,"1,317",(151),"(6,543)",,"（5,377)",
Total gains (losses) (pre-tax)on interest rate contracts,(282),513,"1,852",二,"2,083",
Foreign exchange contracts,,,,,,
Amounts related to interest settlements on derivatives,52,,(139),1,(87),
Recognized on derivatives,(1),,261,"1,591","1,851",(31)
Recognized on hedged items,2,一,(201),"(1,575)","(1,774)",
Total gains (losses) (pre-tax)on foreign exchange contracts,53,1,（79),16,（10）,(31)
Total gains (losses) (pre-tax) recognized on fair value hedges,(229),513,"1,773",16,"2,073",(31)
"Year ended December 31,2019",,,,,,
Total amounts presented in the consolidated statement of income and other comprehensive income,"14,955","(8,635)","（7,350)","7,457",N/A,275
Interest contracts,,,,,,
Amounts related to interest settlements on derivatives,,58,169,,227,
Recognized on derivatives,"(2,082)",463,"5,001",,"3,382",
Recognized on hedged items,"2,096",(442),"(4,910)",,"(3,256)",
Total gains (losses) (pre-tax) on interest rate contracts,14,79,260,二,353,
Foreign exchange contracts,,,,,,
Amounts related to interest settlements on derivatives,35,一,(483),1,(448),
Recognized on derivatives,(5),,308,(358),(55),(3)
Recognized on hedged items,6,,(289),350,67,
Total gains (losses) (pre-tax) on foreign exchange contracts,36,1,(464),(8),(436),(3
Total gains (losses) (pre-tax) recognized on fair value hedges,50,79,(204),(8),(83),(3)
