,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2020","December 31,2020","December 31,2020"
"(in millions,except shares)",Shares authorized and designated,Shares issued and outstanding,Liquidation preference value,Carrying value,Shares authorized and designated,Shares issued and outstanding,Liquidation preference value,Carrying value
DEP Shares Dividend Equalization Preferred Shares (DEP),"97,000","96,546",,,"97,000","96,546",,
SeriesI (1),,,,1,,,$,
Floating Class A Preferred Stock,,,,一,"25,010","25,010","2,501","2,501"
Series L (2) 7.50% Non-Cumulative Perpetual Convertible Class A Preferred Stock,"4,025,000","3,967,995","3,968","3,200","4,025,000","3,967,995","3,968","3,200"
Series N (3),,,,,,,,
5.20% Non-Cumulative Perpetual Class A Preferred Stock Series O (3),,,1,1,"30,000","30,000",750,750
5.125% Non-Cumulative Perpetual Class A Preferred Stock SeriesP (3),,1,1,1,"27,600","26,000",650,650
5.25% Non-Cumulative Perpetual Class A Preferred Stock Series Q,,,,,"26,400","25,000",625,625
5.85% Fixed-to-Floating Non-Cumulative Perpetual Class A Preferred Stock SeriesR,"69,000","69,000","1,725","1,725","69,000","69,000","1,725","1,725"
6.625% Fixed-to-Floating Non-Cumulative Perpetual Class A Preferred Stock SeriesS,"34,500","33,600",840,840,"34,500","33,600",840,840
5.90% Fixed-to-Floating Non-Cumulative Perpetual Class A Preferred Stock Series U,"80,000","80,000","2,000","2,000","80,000","80,000","2,000","2,000"
5.875% Fixed-to-Floating Non-Cumulative Perpetual Class A Preferred Stock Series W (3),"80,000","80,000","2,000","2,000","80,000","80,000","2,000","2,000"
5.70% Non-Cumulative Perpetual Class A Preferred Stock SeriesX(3),1,1,1,1,"40,000","40,000","1,000","1,000"
5.50% Non-Cumulative Perpetual Class A Preferred Stock SeriesY,1,1,1,1,"46,000","46,000","1,150","1,150"
5.625% Non-Cumulative Perpetual Class A Preferred Stock Series Z,"27,600","27,600",690,690,"27,600","27,600",690,690
4.75% Non-Cumulative Perpetual Class A Preferred Stock Series AA,"80,500","80,500","2,013","2,013","80,500","80,500","2,013","2,013"
4.70% Non-Cumulative Perpetual Class A Preferred Stock Series BB,"46,800","46,800","1,170","1,170","46,800","46,800","1,170","1,170"
3.90% Fixed-Reset Non-Cumulative Perpetual Class A Preferred Stock Series CC,"140,400","140,400","3,510","3,510",一,,,
4.375% Non-Cumulative Perpetual Class A Preferred Stock,"46,000","42,000","1,050","1,050",,,,
Series DD,,,,,,,,
4.25% Non-Cumulative Perpetual Class A Preferred Stock,"50,000","50,000","1,250","1,250",,,,
ESOP (4),,,,,,,,
,"609,434","609,434",609,609,"822,242","822,242",822,822
Cumulative Convertible Preferred Stock,,,,,,,,
,,,,"20,057",,"5,496,293","$21,904",
,"5,386,234","5,323,875","20,825",,"5,557,652",,,"21,136"
Total,,,,,,,,
