Year ended December 31, 2021,Net interest income,Noninterest income,Total recorded in net income,Total recorded in OCI
Debt securities,Deposits,Long-term debt,Other,Derivative gains (losses),Derivative gains (losses)
9253,-388,-3173,3734,N/A,"212,"
Interest contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,-253,289,2136,-,-
Recognized on derivatives,1129,-336,-6351,-,-
Recognized on hedged items,-1117,333,6288,-,-
Total gains (losses) (pre-tax) on interest rate contracts,-241,286,2073,-,-
Foreign exchange contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,57,-,10,-,-
Recognized on derivatives,4,-,-516,-99,"-611,81"
Recognized on hedged items,-3,-,-438,82,"517,-"
Total gains (losses) (pre-tax) on foreign exchange contracts,58,-,68,-17,"-27,81"
Total gains (losses) (pre-tax) recognized on fair value hedges,-183,286,2005,-17,"2091,81"
Year ended December 31, 2020,Net interest income,Noninterest income,Total recorded in net income,Total recorded in OCI
Debt securities,Deposits,Long-term debt,Other,Derivative gains (losses),Derivative gains (losses)
11234,-2804,-4471,3847,N/A,"198,"
Interest contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,-338,503,1704,-,-
Recognized on derivatives,-1261,161,6691,-,-
Recognized on hedged items,1317,-151,-6543,-,"-5377,-"
Total gains (losses) (pre-tax) on interest rate contracts,-282,513,1852,-,"-2083,-"
Foreign exchange contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,52,-,-139,-,"-87,-"
Recognized on derivatives,-1,261,1591,-,"-1851,-31"
Recognized on hedged items,2,-,-201,-,"-1575,-1774,-"
Total gains (losses) (pre-tax) on foreign exchange contracts,53,-,79,16,"-10,-31"
Total gains (losses) (pre-tax) recognized on fair value hedges,-229,513,1773,16,"2073,-31"
Year ended December 31, 2019,Net interest income,Noninterest income,Total recorded in net income,Total recorded in OCI
Debt securities,Deposits,Long-term debt,Other,Derivative gains (losses),Derivative gains (losses)
14955,-8635,-7350,7457,N/A,"275,"
Interest contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,-,-,169,-,"-227,-"
Recognized on derivatives,-2082,463,5001,-,"-3382,-"
Recognized on hedged items,2096,-442,-4910,-,"-3256,-"
Total gains (losses) (pre-tax) on interest rate contracts,14,79,260,-,"-353,-"
Foreign exchange contracts,,-,-,-,-
Amounts related to interest settlements on derivatives,35,-,-483,-,"-448,-"
Recognized on derivatives,-5,308,-358,-,"-55,-3"
Recognized on hedged items,6,-,-289,350,"67,-"
Total gains (losses) (pre-tax) on foreign exchange contracts,36,-,464,-8,"-436,-3"
Total gains (losses) (pre-tax) recognized on fair value hedges,50,79,-204,-8,"-83,-3"
