(in millions),"Dec 31, 2021","Dec 31, 2020"
Deferred tax assets,Allowance for credit losses,"$ 3,415,4,871"
Deferred tax assets,Deferred compensation and employee benefits,"3,124,3,225"
Deferred tax assets,Accrued expenses,"1,300,1,503"
Deferred tax assets,Lease liabilities (2),"1,142,1,262"
Deferred tax assets,Net operating loss and tax credit carry forwards,"382,366"
Deferred tax assets,Other,"1,048,944"
Deferred tax assets,Total deferred tax assets,"10,411,12,171"
Deferred tax assets valuation allowance,Deferred tax assets valuation allowance,"(267),(310)"
Deferred tax liabilities,Mark to market,"net,(3,631),(4,043)"
Deferred tax liabilities,Leasing and fixed assets,"(3,523),(4,163)"
Deferred tax liabilities,Mortgage servicing rights,"(2,414),(2,647)"
Deferred tax liabilities,Right-of-use assets (2),"(948),(1,085)"
Deferred tax liabilities,Intangible assets,"(559),(605)"
Deferred tax liabilities,Basis difference in investments,"(496),(1,484)"
Deferred tax liabilities,Net unrealized gains on debt securities,"(278),(1,056)"
Deferred tax liabilities,Other,"(1,082),(1,468)"
Deferred tax liabilities,Total deferred tax liabilities,"(12,931),(16,551)"
Net deferred tax liability (3)(4),Net deferred tax liability (3)(4),"$ (2,787),$ (4,690)"
