ACL,Allowance for credit losses,HTM,Held-to-maturity
AFS,Available-for-sale,LCR,Liquidity coverage ratio
ALCO,Asset/Liability Committee,LHFS,Loans held for sale
ARM,Adjustable-rate mortgage,LIBOR,London Interbank Offered Rate
ASC,Accounting Standards Codification,LIHTC,Low-income housing tax credit
ASU,Accounting Standards Update,LOCOM,Lower of cost or fair value
AUA,Assets under administration,LTV,Loan-to-value
AUM,Assets under management,MBS,Mortgage-backed securities
AVM,Automated valuation model,MSR,Mortgage servicing right
BCBS,Basel Committee on Banking Supervision,NAV,Net asset value
BHC,Bank holding company,NPA,Nonperforming asset
CCAR,Comprehensive Capital Analysis and Review,NSFR,Net stable funding ratio
CD,Certificate of deposit,OCC,Office of the Comptroller of the Currency
CECL,Current expected credit loss,OCI,Other comprehensive income
CET1,Common Equity Tier 1,OTC,Over-the-counter
CFPB,Consumer Financial Protection Bureau,OTTI,Other-than-temporary impairment
CLO,Collateralized loan obligation,PCD,Purchased credit-deteriorated
CLTV,Combined loan-to-value,PCI,Purchased credit-impaired
CPI,Collateral protection insurance,PTPP,Pre-tax pre-provision profit
CRE,Commercial real estate,RMBS,Residential mortgage-backed securities
DPD,Days past due,ROA,Return on average assets
ESOP,Employee Stock Ownership Plan,ROE,Return on average equity
FASB,Financial Accounting Standards Board,ROTCE,Return on average tangible common equity
FDIC,Federal Deposit Insurance Corporation,RWAs,Risk-weighted assets
FHA,Federal Housing Administration,SEC,Securities and Exchange Commission
FHLB,Federal Home Loan Bank,S&P,Standard & Poor's Ratings Services
FHLMC,Federal Home Loan Mortgage Corporation,SLR,Supplementary leverage ratio
FICO,Fair Isaac Corporation (credit rating),SOFR,Secured Overnight Financing Rate
FNMA,Federal National Mortgage Association,SPE,Special purpose entity
FRB,Board of Governors of the Federal Reserve System,TDR,Troubled debt restructuring
GAAP,Generally accepted accounting principles,TLAC,Total Loss Absorbing Capacity
GNMA,Government National Mortgage Association,VA,Department of Veterans Affairs
GSE,Government-sponsored entity,VaR,Value-at-Risk
G-SIB,Global systemically important bank,VIE,Variable interest entity
HQLA,High-quality liquid assets,WIM,Wealth and Investment Management
