(in millions),Level 1,Level 2,Level 3,Total
"December 31, 2021",,,,
Cash and cash equivalents,$,2,242,"—,244"
Long duration fixed income (1),"1,562","6,827",1,"8,390"
Intermediate (core) fixed income (2),—,429,—,429
High-yield fixed income,—,134,—,134
International fixed income,—,83,—,83
Domestic large-cap stocks (3),378,57,—,435
Domestic mid-cap stocks,104,60,—,164
Domestic small-cap stocks,94,6,—,100
Global stocks (4),—,204,—,204
International stocks (5),139,216,—,355
Emerging market stocks,30,96,—,126
Carrying value at year end,,,,
Level 1,40,143,—,183
Level 2,143,—,—,183
Level 3,—,—,—,183
Total,183,—,—,183
Other benefits plan assets,,,,
Level 1,11,67,—,78
Level 2,67,—,—,78
Level 3,—,—,—,78
Total,78,—,—,78
Level 1,20,—,—,20
Level 2,—,—,—,20
Level 3,—,—,—,20
Total,20,—,—,20
Level 1,11,—,—,11
Level 2,—,—,—,11
Level 3,—,—,—,11
Total,11,—,—,11
Level 1,11,24,—,35
Level 2,—,—,—,35
Level 3,—,—,—,35
Total,35,—,—,35
Level 1,—,—,—,—
Level 2,—,—,—,—
Level 3,—,—,—,—
Total,—,—,—,—
Global stocks (4)\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,
Intermediate (core) fixed income (2),555,555,188,188
High-yield fixed income,—,232,—,"232,—,—,—"
International fixed income,—,136,—,"136,—,—,—"
Domestic large-cap stocks (3),647,242,—,"889,—,74,—"
Domestic mid-cap stocks,216,121,—,"337,—,20,—"
Domestic small-cap stocks,212,10,—,"222,—,12,—"
Global stocks (4),—,417,—,"417,—,—,—"
International stocks (5),260,440,1,"701,12,25,—"
Emerging market stocks,51,216,—,"267,—,—,—"
Real estate,133,44,2,"179,—,—,—"
Hedge funds/absolute return,73,77,—,"150,—,—,—"
Other,174,65,9,"248,5,—,24"
Plan investments – excluding investments at NAV,$,"2,866","8,579","12,11,457,63,462,24"
Investments at NAV (6),572,,,
Net receivables,32,,,
Total plan assets,$,"12,061",549,
