"(in millions),Less than 12 months Gross unrealized losses,,Fair value,12 months or more Gross unrealized losses,Fair value,Total"
"December 31, 2021,,,,,"
"Available-for-sale debt securities:,,,,,"
"Securities of U.S. Treasury and federal agencies,$,(192),—,—,(192),24,418"
"Non-U.S. government securities,,—,—,—,—"
"Securities of U.S. states and political subdivisions,$,(36),(2,308),(51),(2,840)"
"Federal agency mortgage-backed securities,$,(334),(40,695),(582),(50,159)"
"Non-agency mortgage-backed securities,,(4),(1,966),(15),(2,509)"
"Collateralized loan obligations,,(3),(1,619),(7),(2,861)"
"Other debt securities,,—,—,(7),(624)"
"Total available-for-sale debt securities,$,(569),71,006,(854),83,411"
"December 31, 2020,,,,,"
"Available-for-sale debt securities:,,,,,"
"Securities of U.S. Treasury and federal agencies,$,—,—,—"
"Non-U.S. government securities,,(3),(16,812),—,(16,812)"
"Securities of U.S. states and political subdivisions,,(51),(3,681),(81),(4,782)"
"Federal agency mortgage-backed securities,,(27),(11,310),(28),(11,626)"
"Non-agency mortgage-backed securities,,(28),(1,366),(46),(1,900)"
"Collateralized loan obligations,,(27),(5,082),(44),(6,880)"
"Other debt securities,,(16),647,(61),(2,251)"
"Total available-for-sale debt securities,$,(152),38,898,(263),44,251"
