,Pension plan assets,Pension plan assets,Pension plan assets,Pension plan assets,Other benefits plan assets,Other benefits plan assets,Other benefits plan assets
,Level1,Level 2,Level 3,Total,Level1,Level 2,Level3 Total
"December 31,2021",,,,,,,
Cash and cash equivalents,2,242,1,244,40,143,183
Long duration fixed income (1),"1,562","6,827",1,"8,390",1,1,1
Intermediate (core) fixed income (2),1,429,一,429,一,193,193
High-yield fixed income,1,134,,134,1,1,1
International fixed income,1,83,,83,,1,1
Domestic large-cap stocks (3),378,57,,435,11,67,78
Domestic mid-cap stocks,104,60,,164,,20,20
Domestic small-cap stocks,94,6,,100,,11,11
Global stocks (4),1,204,,204,1,1,1
International stocks (5),139,216,,355,11,24,35
Emerging market stocks,30,96,1,126,1,1,1
Realestate,87,28,1,116,1,1,1
Hedge funds/absolute return,1,54,一,54,一,1,1
Other,111,45,9,165,6,1,30
Plan investments-excluding investments at NAV,"2,507","8,481",11,"10,999",68,458,550
Investments at NAV (6),,,,533,,,1
Net receivables,,,,49,,,1
Total planassets,,,,"$11,581",,,550
"December 31,2020",,,,,,,
Cash and cash equivalents,68,154,,222,46,145,191
Long duration fixed income (1),"1,032","6,092",,"7,124",,1,1
Intermediate (core) fixed income (2),1,333,,333,,186,186
High-yield fixed income,1,232,,232,,1,1
International fixed income,1,136,,136,,1,1
Domestic large-cap stocks (3),647,242,,889,,74,74
Domestic mid-cap stocks,216,121,,337,,20,20
Domestic small-cap stocks,212,10,,222,,12,12
Global stocks (4),1,417,,417,,1,1
International stocks (5),260,440,1,701,12,25,37
Emerging market stocks,51,216,一,267,,1,
Real estate,133,44,2,179,,1,
Hedge funds/absolute return,73,77,一,150,,,一
Other,174,65,9,248,5,一,29
Plan investments -excluding investments at NAV,"$2,866","8,579",12,"11,457",63,462,549
Investments at NAV (6),,,,572,,,1
Net receivables,,,,32,,,一
Total plan assets,,,,"$12,061",,,549
