,Carring obligation,Expires in one,Expiresafter one year,Expiresafter three years,,,,Non-
(in millions),,(asset),yearor less,through three years,through five years,Expiresafter fiveyears,Total,investment grade
"December 31,2021",,,,,,,,
Standby letters of credit,$,119,"13,816","5,260","1,572",460,"21,108","6,939"
Direct pay letters of credit,,6,"1,597","2,137","1,283",4,"5,021","1,373"
Written options (1),,(280),"12,107","4,575",513,36,"17,231","13,645"
Loans and LHFS sold with recourse (2),,20,71,943,"3,610","8,650","13,274","11,268"
Exchange and clearing house guarantees,,1,1,1,1,"8,100","8,100",1
Other guarantees and indemnifications (3),,1,797,2,12,263,"1,074",756
Total guarantees,$,(135),"28,388","12,917","6,990","17,513","65,808","33,981"
"December 31,2020",,,,,,,,
Standby letters of credit,$,156,"11,977","4,962","1,897",433,"19,269","7,528"
Direct pay letters of credit,,18,"2,256","2,746",531,39,"5,572","1,102"
Written options (1),,(538),"12,735","7,972",889,58,"21,654","13,394"
Loans and LHFS sold with recourse (2),,33,177,819,"1,870","9,723","12,589","10,332"
Exchange and clearing house guarantees,,1,1,1,1,"5,510","5,510",1
Other guarantees and indemnifications (3),,一,734,1,1,"1,414","2,150",590
Total guarantees,$,(331),"27,879","16,500","5,188","17,177","66,744","32,946"
