,"December 31,","December 31,"
(in millions),2021,2020
Nonaccrual loans:,,
Commercial:,,
Commercial and industrial,980,"2,698"
Real estate mortgage,"1,235","1,774"
Real estate construction,,48
Lease financing,148,259
Total commercial,"2,376","4,779"
Consumer:,,
Residential mortgage-first lien (1),"3,803","2,957"
Residential mortgage-junior lien (1),801,754
Auto,198,202
Other consumer,"4,836",36
Total consumer,,"3,949"
Total nonaccrual loans,"$ 7,212","8,728"
As a percentage of total loans,,0.98
Foreclosed assets:,$,
Government insured/guaranteed (2),,18
Non-government insured/guaranteed,112,141
Total foreclosed assets,$,159
Total nonperforming assets Asa percentage of total loans,"7,324 0.82 %","8,887 1.00"
