"($ in millions,except cost toservice amounts)",Fair Value Level3,Valuation Technique,Significant Unobservable Input,Range of Inputs,Range of Inputs,,Weighted Average
"December 31,2021",$ 136,Discounted cash flow,Discount rate,0.4-,12.5,%,5.5
Trading and available-for-sale debt securities,11,,,,,,
Trading and available-for-sale debt securities,,Vendor priced Market comparable pricing,,Comparability adjustment,(30.2),19.2,(4.6)
Trading and available-for-sale debt securities,"280 1,033",Discounted cash flow,,,,29.2 %,1.2
Trading and available-for-sale debt securities,,,Default rate Discount rate,0.0 1.6,11.9,,5.1
,,,Loss severity,0.0-,46.9,,15.4
,,,,7.5,18.2,,13.1
,,,Prepayment rate,- 54,585,,106
,,,Cost to service per loan (1) Discount rate,5.8-,8.8,%,6.4
Net derivative assets and (liabilities):,,Discounted cash flow,Prepayment rate (2),12.5-,21.1,,14.7
Net derivative assets and (liabilities):,,Discounted cash flow,,,,,
Net derivative assets and (liabilities):,,Discounted cash flow,Default rate,0.0-,,5.0,2.1
Net derivative assets and (liabilities):,,Discounted cash flow,Loss severity,50.0,50.0,,50.0
Interest rate contracts: derivative loan,,Discounted cash flow,Prepayment rate,2.8,22.0,,18.7
Interest rate contracts: derivative loan,,Discounted cash flow,Fall-out factor,1.0,99.0,,16.8
Equity contracts,253,Discounted cash flow,Initial-value servicing,(74.8),146.0,bps,50.9
Equity contracts,253,Discounted cash flow,Conversion factor,(10.2)-,0.0,%,（9.7)
Equity contracts,(682),Option model,Weighted average life,0.5,2.0,yrs,1.1
Equity contracts,(682),Option model,Correlation factor,(77.0) -,99.0,%,23.2
Nonmarketable equity securities,"8,906",Market comparable pricing,Volatility factor,6.5,72.0,,29.1
Nonmarketable equity securities,"8,906",Market comparable pricing,Comparabilityadjustment,(21.6),（7.7),,(15.5)
"InsignificantLevel3assets,netofliablities",9,,,,,,
"TotalLevel3ssets,etoflbiities","16,993 (3)",,,,,,
"December31,2020",,,,,,,
Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities,Trading and available-for-sale debt securities
,"2,126 759",Discounted cash flow Vendor priced,Discount rate,0.4,14.7,%,3.6
,173,Market comparable pricing,Discount rate,(39.8)-,,0.3,(8.4)
,109,Market comparable pricing,Comparability adjustment Multiples,7.2x,12.1x,,8.0x
,"1,234",Discounted cash flow,Default rate,0.0,31.6,%,1.7
,,,Discount rate,1.3,12.0,,4.5
,,,Loss severity,0.0,32.3,,18.4
Mortgage servicing rights (residential),"6,125",Discounted cash flow,Prepayment rate,8.3,,23.6,15.1
Mortgage servicing rights (residential),"6,125",Discounted cash flow,Cost to service per loan (1),63,712,%,130
Mortgage servicing rights (residential),"6,125",Discounted cash flow,Discount rate,4.9,,8.3,5.8
Mortgage servicing rights (residential),"6,125",Discounted cash flow,,14.3,,22.8,
Net derivative assets and (liabilities):,,,Prepayment rate (2),,,,19.9
Interest rate contracts,206,Discounted cash flow,Default rate,0.0-,,6.0,1.7
Interest rate contracts,206,Discounted cash flow,Losseverity,50.0-,,50.0,50.0
Interest rate contracts,,Discounted cash flow,Prepayment rate,2.8,22.0,,18.2
Interest rate contracts,,Discounted cash flow,Discounted cash flow,,,99.0,28.8
Equity contracts,240,,Fall-out factor Initial-value servicing,1.0 (51.6)-,,bps,65.5
Equity contracts,240,,Conversion factor,(8.6）-,268.0 0.0,%,(8.2)
,220,Discounted cash flow,Weighted average life,0.5-,,,1.0
,220,Discounted cash flow,,,2.0 99.0,yrs,
,(534),Option model,Correlation factor Volatility factor,(77.0）- 6.5,96.6,%,24.8 26.4
