(in millions),,2021,2020,2019
Servicing fees:,,2021,2020,2019
"Contractually specified servicing fees, late charges and ancillary fees","$ 2,801","3,250","3,660",
Unreimbursed direct servicing costs (1),(332),(620),(403),
Servicing fees,"2,469","2,630","3,257",
Amortization (2),225,308,274,
Changes due to collection/realization of expected cash flows (3),(A),"(2,012)","(2,375)","(2,210)"
Net servicing fees,232,(53),773,
Changes in fair value of MSRs due to valuation inputs or assumptions (4),(B),"1,170","(4,693)","(2,569)"
Net derivative gains (losses) from economic hedges (5),"-1,208","4,607","2,318",
"Market-related valuation changes to MSRs, net of hedge results",(38),(86),(251),
Total net servicing income,194,-139,522,
Net gains on mortgage loan originations/sales (6),"4,762","3,632","2,193",
Total mortgage banking noninterest income,"4,956","3,493","2,715",
Total changes in fair value of MSRs carried at fair value,(A)+(B),-842,"(7,068)","(4，,779)"
