"Dec 31, 2021","Dec 31, 2020"
Held for trading at fair value:,
Marketable equity securities (1),"27,476"
Not held for trading:,
Fair value:,
Marketable equity securities,"2,578"
Nonmarketable equity securities (2),"9,044"
Total equity securities at fair value,"11,622"
Equity method:,
Private equity,"3,077"
Tax-advantaged renewable energy,"4,740"
New market tax credit and other,379
Total equity method,"8,196"
Other methods:,
Low-income housing tax credit investments,"12,314"
Private equity (3),"9,694"
Federal Reserve Bank stock and other at cost (4),"3,584"
Total equity securities not held for trading,"45,410"
Total equity securities,"72,886"
