,,,$Change,% Change 2021/,2021/,,,$Change 2020/,%Change 2020/
(in millions),2021,,2020,2020,2020,2019,,2019,2019
Selected Balance Sheet Data (average) Loans:,,,,,,,,,
Commercial and industrial,,"$170,713","172,492","(1,779)",(1)%,"$168,506",,"3,986",2%
Commercial real estate,,"86,323","82,832","3,491",4,,"79,804","3,028",4
Total loans,,"$257,036","255,324","1,712",1,"$248,310",,"7,014",3
Loans by Line of Business:,,,,,,,,,
Banking,$,"93,766","93,501",265,1,$,"90,749","2,752",3
Commercial Real Estate,,"110,978","108,279","2,699",2,,"104,261","4,018",4
Markets,,"52,292","53,544","(1,252)",(2),,"53,300",244,一
Total loans,,"$257,036","255,324","1,712",1,"$248,310",,"7,014",3
Trading-related assets:,,,,,,,,,
Trading account securities,"$110,386",,"109,803",583,1,"$115,937",,"(6,134)",
Reverse repurchase agreements/securities borrowed,,"59,044","71,485","(12,441)",(17),,"89,190","(17,705)",(5) (20)
Derivative assets,,"25,315","21,986","3,329",15,,"12,762","9,224",72
Total trading-related assets,"$194,745",,"203,274","(8,529)",(4),$,"217,889","(14,615)",(7)
Total assets,,"523,344","521,514",,,,,,
Total deposits,,"189,176","234,332","1,830 (45,156)",1 (19),,"520,379 238,651","1,135",1
Allocated capital,,"34,000","34,000",1,1,,"31,500","(4,319) 2,500",(2) 8
Selected Balance Sheet Data (period-end),,,,,,,,,
Loans:,,,,,,,,,
Commercial and industrial,,"$191,391","160,000","31,391",20,"$173,985",,"(13,985)",(8)
Commercial real estate,,"92,983","84,456","8,527",10,,"79,451","5,005",6
Total loans,,"$284,374","244,456","39,918",16,"$ 253,436",,"(8,980)",(4)
Loans by Line of Business:,,,,,,,,,
Banking,,"$101,926","84,640","17,286",20,$,"93,117","(8,477)",（9)
Commercial Real Estate,,"125,926","107,207","18,719",17,,"103,938","3,269",3
Markets,,"56,522","52,609","3,913",7,,"56,381","(3,772)",(7)
Total loans,"$284,374",,"244,456","39,918",16,$,"253,436","(8,980)",(4)
Trading-related assets:,,,,,,,,,
Trading account securities,"$108,697",,"109,311",(614),(1),"$124,808",,"(15,497)",(12)
Reverse repurchase agreements/securities borrowed,,"55,973","57,248","(1,275)",(2),,"90,077","(32,829)",(36)
Derivative assets,,"21,398","25,916","(4,518)",(17),,"14,382","11,534",80
Total trading-related assets,"$186,068",,"192,475","(6,407)",(3),$,"229,267","(36,792)",(16)
Total assets,,"546,549","508,518","38,031",7,,"538,007","(29,489)",(5)
Total deposits,,"168,609","203,004","(34,395)",(17),,"261,134","(58,130)",(22)
