,,,,,,,,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity,Wells Fargo stockholders'equity
,Preferred stock,Preferred stock,Preferred stock,Common stock,Common stock,Common stock,,Cumulative,,,,,,
,,,,,,Additional,,,other,,Unearned nese,Noncontrolling,,
($ and shares in millions),Shares,Amount,,Shares,Amount,apa,Retained earnings,comprehensive income(loss),Treasry,,,interests,Total equity,
"Balance December 31,2020 (1)",,"5.5$21,136",,"4,144.0","$9,136","60,197","162,683",194,"(67,791)",,(875),"1,032","185,712",
Net income,,,,,,,"21,548",,,,,"1,690","23,238",
"Other comprehensive loss, netof tax",,,,,,,,,"(1,896)",,,(1),"(1,897)",
Noncontrolling interests,,,,,,,,,,,,(217),(217),
Common stock issued,,,,43.8,,（8）,(162),,,"2,265",,,2095,
Common stock repurchased,,,,(306.4),,,,,,"(14,464)",,,"(14,464)",
Preferred stockissued,0.2,,"5,810",,,（54),,,,,,,"5,756",
Preferred tock redeemed (2),(0.2),,"(6,676)",,,87,(87),,,,,,"(6,676)",
Preferred stock released by ESOP,,,,,,(16),,,,,229,,213,
Preferredstock convertedto,,,(213),,,,,,,,,,,
commonshares,(0.2),,,4.4,,(8),,,,221,,,二,
Common stock dividends,,,,,,29,"(2,455)",,,,,,"(2,426)",
Preferred stock dividends,,,,,,"1,043","(1,205)",,,,,,"(1,205)",
Stock-based compensation Net change indeferred,,,,,,,,,,,,,"1,043",
compensation andrelated plans,,,"(1,079)",(258.2),,"(1,074)",,,,12,,,"(1,062)",
"Netchange Balance December 31,2021",(0.2）,"5.3$20,057",,,"1 3,885.8$9,136","(1) 60,196","17,639 180,322",,"(1,896) (1,702)","(11,966) （79,757)",229 (646),"1,472 2,504","4,398 190,110",
