,Lending and deposits,Lending and deposits,Securities,Securities,Derivatives and other,Derivatives and other,,,,
,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,Total exposure Total,Total exposure Total
,,,sovereign,,sovereign,,sovereign,,sovereign (1),
Top 20 country exposures:,,,,,,,,,,
United Kingdom,"7,912","24,793",,978,1,"2,365","7,913","28,136","36,049",
Canada,1,"17,347",,145,7,364,8,"17,856","17,864",
Cayman Islands,一,"6,971",,1,,95,1,"7,066","7,066",
Ireland,557,"4,904",,185,,68,557,"5,157","5,714",
Guernsey,,"4,193",,1,,60,,"4,253","4,253",
Bermuda,,"3,877",,68,,63,,"4,008","4,008",
Luxembourg,,"3,582",,99,,87,,"3,768","3,768",
Germany,,"3,177",,68,,231,,"3,476","3,476",
China,8,"3,287",1,66,29,27,38,"3,380","3,418",
France,91,"2,969",,140,111,28,202,"3,137","3,339",
Netherlands,,"2,191",一,83,一,81,1,"2,355","2,355",
South Korea,,"2,025",(4),137,,13,(4),"2,175","2,171",
India,,"1,553",一,68,,1,一,"1,622","1,622",
Switzerland,,"1,380",,1,,200,,"1,581","1,581",
Brazil,,"1,516",,3,,2,,"1,521","1,521",
Chile,,"1,326",,30,,1,,"1,357","1,357",
Australia,,"1,231",,(9),,14,,"1,236","1,236",
Norway,,"1,045",,116,,4,,"1,165","1,165",
Japan,166,809,,48,,37,166,894,"1,060",
United Arab Emirates,,881,一,82,一,一,一,963,963,
Total top 20 country exposures,"$ 8,735","89,057",(3),"2,308",148,"3,741","8,880","95,106","103,986",
