(in millions)\tAmortized cost, net (1)\tGross unrealized gains\tGross unrealized losses\tFair value
December 31, 2021\tAvailable-for-sale debt securities:\t\t\t\t
\tSecurities of U.S. Treasury and federal agencies\t$39,"668\t185\t(192)\t39,661"
\tNon-U.S. government securities\t71\t\t\t71,
\tSecurities of U.S. states and political subdivisions (2)\t16,"618\t350\t(51)\t16,917"
\tFederal agency mortgage-backed securities\t104,"661\t1,807\t(582)\t105,886"
\tNon-agency mortgage-backed securities (3)\t4,"515\t32\t(15)\t4,532"
\tCollateralized loan obligations\t5,"713\t2\t(7)\t5,708"
\tOther debt securities\t4,"217\t259\t(7)\t4,469"
\tTotal available-for-sale debt securities\t175,"463\t2,635\t(854)\t177,244"
\tHeld-to-maturity debt securities:\t\t\t\t,
\tSecurities of U.S. Treasury and federal agencies\t16,"544\t599\t(318)\t16,825"
\tSecurities of U.S. states and political subdivisions\t32,"689\t847\t(61)\t33,475"
\tFederal agency mortgage-backed securities\t188,"909\t1,882\t(2,807)\t187,984"
\tNon-agency mortgage-backed securities (3)\t1,"082\t31\t(18)\t1,095"
\tCollateralized loan obligations\t31,"067\t194\t(2)\t31,259"
\tOther debt securities\t1,"731\t17\t\t1,748"
\tTotal held-to-maturity debt securities\t272,"022\t3,570\t(3,206)\t272,386"
\tTotal\t$447,"485\t6,205\t(4,060)\t449,630"
December 31, 2020\tAvailable-for-sale debt securities:\t\t\t\t
\tSecurities of U.S. Treasury and federal agencies\t$21,"954\t205\t\t22,159"
\tNon-U.S. government securities\t16,"816\t\t\t16,813"
\tSecurities of U.S. states and political subdivisions (2)\t19,"263\t224\t(81)\t19,406"
\tFederal agency mortgage-backed securities\t134,"838\t4,260\t(28)\t139,070"
\tNon-agency mortgage-backed securities (3)\t3,"745\t30\t(46)\t3,729"
\tCollateralized loan obligations\t9,"058\t4\t(44)\t9,018"
\tOther debt securities\t9,"859\t399\t(61)\t10,197"
\tTotal available-for-sale debt securities\t215,"533\t5,122\t(263)\t220,392"
\tHeld-to-maturity debt securities:\t\t\t\t,
\tSecurities of U.S. Treasury and federal agencies\t47,"295\t1,472\t(170)\t48,597"
\tSecurities of U.S. states and political subdivisions\t25,"860\t938\t(5)\t26,793"
\tFederal agency mortgage-backed securities\t115,"437\t4,182\t(21)\t119,598"
\tNon-agency mortgage-backed securities (3)\t890\t51\t(8)\t933,
\tCollateralized loan obligations\t16,"238\t148\t\t16,386"
\tTotal held-to-maturity debt securities\t205,"720\t6,791\t(204)\t212,307"
\tTotal\t$421,"253\t11,913\t(467)\t432,699"
