"Year ended December 31,",Recorded investment of defaults (in millions),2021,2020,2019
Commercial:,Commercial and industrial,132,"677,111",
Commercial:,Real estate mortgage,34,128,48
Commercial:,Real estate construction,,,17
Commercial:,Lease financing,1,,
Commercial:,Total commercial,167,806,176
Consumer:,Residential mortgage – first lien,12,34,41
Consumer:,Residential mortgage – junior lien,1,12,13
Consumer:,Credit card,25,72,88
Consumer:,Auto,43,32,12
Consumer:,Other consumer,3,5,8
Consumer:,Total consumer,84,155,162
Total,,251,"961,338",
