(in millions),Commercial and industrial,Real estate mortgage,Real estate construction,Lease financing,Total
"December 31, 2021, By delinquency status:",,,,,
Current-29 days past due (DPD) and still accruing,"$ 348,033","126,184","19,900","14,568","508,685"
30-89 DPD and still accruing,,"217,285","179,143",,"1,824"
90+ DPD and still accruing,,206,29,,235
Nonaccrual loans,,980,"1,235","13,148","2,376"
Total commercial loans,"$ 350,436","127,733","20,092","14,859","513,120"
"December 31, 2020, By delinquency status:",,,,,
Current-29 DPD and still accruing,"$ 315,493","119,561","21,532","15,595","472,181"
30-89 DPD and still accruing,,"347,224",233,,"1,379"
90+ DPD and still accruing,,39,"38 1,774",1 48,1 259
Nonaccrual loans,,"2,698","121,720",,
Total commercial loans,"$ 318,805","21,805","16,087",,"478,417"
