,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2020","December 31,2020"
,Notional or,,Fairvalue,Notional or,,Fair value
,contractual,Derivative,Derivative,contractual,Derivative,Derivative
(in millions),amount,assets,liabilities,amount,assets,liabilities
Derivatives designated as hedging instruments,,,,,,
Interest rate contracts,"153,993","2,212",327,"184,090","3,212",789
Foreign exchange contracts,"24,949",281,669,"47,331","1,381",607
Total derivatives designated as qualifying hedging instruments,,"2,493",996,,"4,593","1,396"
Derivatives not designated as hedging instruments,,,,,,
Economic hedges:,,,,,,
Interest rate contracts,"142,234",40,41,"261,159",341,344
Equity contracts,"26,263","1,493","1,194","25,997","1,363",490
Foreign exchange contracts,"28,192",395,88,"47,106",331,"1,515"
Credit contracts,290,7,1,73,31,1
Subtotal,,"1,935","1,32",,"2,066","2,349"
Customer accommodation trading and other derivatives:,,,,,,
Interest rate contracts,"7,976,534","20,286","17,435","7,947,941","32,510","25,169"
Commodity contracts,"76,642","5,965","2,417","65,790","2,036","1,543"
Equity contracts,"321,863","16,278","17,827","280,195","17,522","21,516"
Foreign exchange contracts,"560,049","5,912","5,915","412,879","6,891","6,034"
Credit contracts,"38,318",39,43,"34,329",64,58
Subtotal,,"48,480","43,637",,"59,023","54,320"
Total derivatives not designated as hedging instruments,,"50,415","44,960",,"61,089","56,669"
Totalderivatives before netting,,"52,908","45,956",,"65,682","58,065"
Netting,,"(31,430)","(36,532)",,"(39,836)","(41,556)"
Total,,"21,478","9,424",,"25,846","16,509"
