(in millions),"Dec31, 2021","Dec31, 2020"
Related to trading activities:,,
Repledged third-party owned debt and equity securities,"31,087","44,765"
Trading debt securities and other,"14,216","19,572"
Equity securities,984,470
Total pledged assets related to trading activities,"46,287","64,807"
Related to non-trading activities:,,
Loans,"288,698","344,220"
Debt securities:,,
Available-for-sale,"65,198","57,289"
Held-to-maturity,"13,843","17,290"
Other financial assets,"1,600",230
Total pledged assets related to non-trading activities,"369,339","419,029"
Related to VIEs:,,
Consolidated VIE assets,"4,781","12,146"
Loans eligible for repurchase from GNMA securitizations,109,179
Total pledged assets related to VIEs,"4,890","12,325"
Total pledged assets,"420,516","496,161"
