,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2020","December 31,2020"
,Pension benefits,Pension benefits,,Pension benefits,Pension benefits,
(in millions),Qualified,Non- qualified,Other benefits,Qualified,Non- qualified,Other benefits
Change in benefit obligation:,,,,,,
Benefit obligation at beginning of year,"11,956",556,491,"11,116",572,525
Service cost,17,1,1,14,1,1
Interest cost,296,12,11,325,16,16
Plan participants'contributions,1,1,40,1,1,43
Actuarial loss (gain),(414),(18),(34),"1,205",25,(15)
Benefits paid,(818),(49),(69),(706),(57),(78)
"Settlements,Curtailments,and Amendments",(2),1,1,(1),1,1
Foreign exchange impact,(3),1,1,3,1,1
Benefit obligationat end of year,"11,032",501,439,"11,956",556,491
Change in plan assets:,,,,,,
Fair value of plan assets at beginning of year,"12,061",1,549,"10,763",1,540
Actual return on plan assets,324,1,25,"1,291",/,38
Employer contribution,15,49,5,712,57,6
Plan participants'contributions,1,1,40,1,一,43
Benefits paid,(818),(49),(69),(706),（57),(78)
Settlement,1,1,1,(1),1,1
Foreign exchange impact,(1),二,二,2,1,二
Fair value of plan assets at end of year,"11,581",二,550,"12,061",1,549
Funded status at end of year,549,(501),111,105,(556),58
Amounts recognized on the consolidated balance sheet at end of year:,,,,,,
Assets,620,1,133,181,丨,84
Liabilities,(71),(501),(22),(76),(556),(26)
