,,,$Change 2021/,% Change 2021/,,$Change 2020/,%Change 2020/
($ in millions),2021,2020,2020,2020,2019,2019,2019
Income Statement,,,,,,,
Net interest income,"$ 7,410","7,509",（99),(1)%,"$ 8,008",(499),(6)%
Noninterest income:,,,,,,,
Deposit-related fees,"1,112","1,062",50,5,"1,029",33,3
Lending-related fees,761,684,77,11,710,(26),(4)
Investment banking fees,"2,405","1,952",453,23,"1,804",148,8
Net gains from trading activities,272,"1,190",(918),（77),"1,022",168,16
Other,"1,879","1,531",348,23,"1,877",(346),(18)
Total noninterest income,"6,429","6,419",10,1,"6,442",(23),1
Total revenue,"13,839","13,928",(89),(1),"14,450",(522),(4)
Net charge-offs,(22),742,(764),NM,173,569,329
Change in the allowance for credit losses,"(1,417)","4,204","(5,621)",NM,1,"4,204",NM
Provision for credit losses,"(1,439)","4,946","(6,385)",NM,173,"4,773",NM
Noninterest expense,"7,200","7,703",(503),(7）,"7,432",271,4
Income before income tax expense,"8,078","1,279","6,799",532,"6,845","(5,566)",(81)
Income tax expense,"2,019",330,"1,689",512,"1,658","(1,328)",(80）
Less: Net loss from noncontrolling interests,(3),(1),(2),NM,(1),1,1
Net income,"$6,062",950,"5,112",538,"$ 5,188","(4,238)",(82)
Revenue by Line of Business,,,,,,,
Banking:,,,,,,,
Lending,"1,948","1,767",181,10,"$ 1,811",(44),(2)
Treasury Management and Payments,"1,468","1,680",(212),(13),"2,290",(610),(27)
Investment Banking,"1,654","1,448",206,14,"1,370",78,6
Total Banking,"5,070","4,895",175,4,"5,471",(576),(11)
Commercial Real Estate,"3,963","3,607",356,10,"4,260",(653),(15)
Markets:,,,,,,,
"Fixed Income, Currencies,and Commodities (FICC) Equities","3,710 897","4,314",(604),(14),"3,760",554,15
Credit Adjustment (CVA/DVA) and Other,,"1,204",(307),(25),"1,078",126,12
,91,26,65,250,(6,32,533
Total Markets,"4,698","5,544",(846),(15),"4,832",712,15
Other,108,(118),226,192,(113),(5),(4)
Totalrevenue,"$13,839","13,928",(89),(1),"$14,450",(522),(4)
Selected Metrics,,,,,,,
Return on allocated capital,16.9 %,1.8,,,15.4 %,,
Efficiency ratio,52,55,,,51,,
Headcount (#) (period-end),"8,489","8,178",,4,"7,918",,3
