(in millions),"Dec31, 2021","Dec 31, 2020"
Assets,,
"Cash, cash equivalents,and restricted cash due from subsidiary banks","15,134","14,817"
Loans to nonbank subsidiaries,"185,050","185,046"
Investments in subsidiaries (1) (2),"172,926","172,637"
Equity securities,140,144
Other assets,"7,341","5,857"
Totalassets,"380,591","378,501"
Liabilities and equity,,
Accrued expenses and other liabilities,,"8,249"
Long-term debt,"146,082","181,956"
Indebtedness to nonbank subsidiaries,"39,570","3,616"
Total liabilities,"192,985","193,821"
Stockholders'equity (1),,"184,680"
Total liabilitiesand equity,"187,606 380,591","378,501"
