,Common stock,Common stock,Common stock,Common stock,Common stock,WellsFargo stockholders'equity,WellsFargo stockholders'equity,WellsFargo stockholders'equity,WellsFargo stockholders'equity,WellsFargo stockholders'equity
,Preferred stock,Preferred stock,Preferred stock,Preferred stock,Preferred stock,,,,,
,,,,,Additional,,Cumulative other,,Unearned saes,
($ and shares in millions),Shares,Amount,Shares,Amount,Papta,Retained earnings,comeree,Treaser,Noncontroling interests,Tot
"Balance December31,2018",,"9.4$23,214","4,581.3","$9,136","60,685","158,163","(6,336)","(47,194) (1,502)",900,"197,066"
Cumulativeeffect from change in accounting policies(1)(2),,,,,,(940),481,,,(459)
"Balance January1,2019 (2)",9.4,"23,214","4,581.3","9,136","60,685","157,223","(5,855) (47,194)","(1,502)",900,"196,607"
Net income (2),,,,,,"19,715",,,491,"20,206"
"Other comprehensive income, net of tax",,,,,,,"4,544",,1,"4,544"
Noncontrolling interests,,,,,,,,,（553）,（553)
Common stock issued,,,48.7,,9,(382),,,,"2,157"
Common stock repurchased,,,(502.4),,,,"(24,533)",,,"(24,533)"
Preferred stock issued,1,1,,,1,,,,,三
Preferred stock redeemed (3),(1.6）,"(1,330)",,,二,(220),,,,"(1,550)"
Preferred stock released by ESOP,,,,,(24),,,,,335
Preferred stock converted to common shares,(0.3),(335),6.8,,(16),,,,,1
Common stock dividends,,,,,86,"(8,529)",,,,"(8,443)"
Preferred stock dividends,,,,,,"(1,392)",,,,"(1,392)"
Stock-based compensation,,,,,"1,234",,,,,"1,234"
Net change in deferred compensation and related plans,,,,,（925),,,15,,(910)
Net change (2),(1.9）,"(1,665)",(446.9),,364,"9,192","4,544","(21,637)",,"(8,905)"
"Balance December31,2019 (2)",,7.5$21549,"4,134.4$9,136",,"61,049","166,415","(1,311)","(68,831) (1,143)",838,"187,702"
Cumulativeeffect from change in accounting policies (4),,,,,,990,,,,990
"BalanceJanuary,2020(2)",7.5,"21,549","4,134.4","9,136","61,049","167,405","(1,311) (68,831)","(1,143)",838,"188,692"
"Net income (2) Other comprehensive income,",,,,,,3.377,,,285,3.662
net oftax,,,,,,,"1,505",,,"1,505"
Noncontrolling interests,,,,,,,,,(91),（91)
Common stock issued,,,75.6,,207,"(1,449)",,,,"2,719"
Common stock repurchased,,,（75.7）,,,,,"(3,415)",,"(3,415)"
Preferred stock issued,0.1,"3,183",,,（67）,,,,,"3,116"
Preferred stock redeemed (5),(1.9),"(3,347)",,,46,(301),,,,(3.602)
Preferred stock released by ESOP Preferred stock converted to,,,,,(19）,,,,,249
common shares,(0.2),(249),9.7,,(243),,,,,二
Common stock dividends,,,,,44,"（5,059)",,,,"(5,015)"
Preferred stock dividends Stock-based compensation,,,,,,"(1,290)",,,,"(1,290)"
Netchangeindeferred compensation,,,,,643,,,,,643
and related plans,,,,,"(1,463)",,,2,,"(1,461)"
"Net change (2) Balance December31,2020 (2)",(2.0）,（413),9.6,"一 $9,136","(852) 60,197","(4,722)","1,505 194","1,040 (67,791)","194 1,032","(2,980) 185,712"
,,"5.5$21,136","4,144.0",,,"162,683",,,,
