(in millions),Total VIE assets,Loans,Debt securities (1),Equity securities,All other assets (2),Debt and other liabilities,Net assets
"December 31, 2021",Nonconforming mortgage loan securitizations,"$ 146,482",—,"2,620",—,694,"—,3,314"
"December 31, 2021",Tax credit structures,"44,528","1,904",—,"12,322",—,"(4,941),9,285"
"December 31, 2021",Commercial real estate loans,"5,489","5,481",—,—,8,"—,5,489"
"December 31, 2021",Other,"3,196",531,3,62,49,"(1),644"
"December 31, 2021",Total,"$ 199,695","7,916","2,623","12,384",751,"(4,942),18,732"
"December 31, 2021",Maximum exposure to loss,Loans,Debt securities (1),Equity securities,All other assets (2),"Debt, guarantees, and other commitments",Total exposure
"December 31, 2021",Nonconforming mortgage loan securitizations,$ —,"2,620",—,—,694,"27,3,341"
"December 31, 2021",Tax credit structures,"1,904",—,"12,322",—,—,"3,730,17,956"
"December 31, 2021",Commercial real estate loans,"5,481",—,—,8,710,"6,199"
"December 31, 2021",Other,531,3,62,49,229,874
"December 31, 2021",Total,"$ 7,916","2,623","12,384",751,"4,696","28,370"
(in millions),Total VIE assets,Loans,Debt securities (1),Equity securities,All other assets (2),Debt and other liabilities,Net assets
"December 31, 2020",Nonconforming mortgage loan securitizations,"$ 127,717",—,"2,303",—,606,"—,2,909"
"December 31, 2020",Tax credit structures,"41,125","1,760",—,"11,362",—,"(4,202),8,920"
"December 31, 2020",Commercial real estate loans,—,—,—,—,—,"—,—"
"December 31, 2020",Other,"1,991",89,—,51,62,"(1),201"
"December 31, 2020",Total,"$ 170,833","1,849","2,303","11,413",668,"(4,203),12,030"
"December 31, 2020",Maximum exposure to loss,Loans,Debt securities (1),Equity securities,All other assets (2),"Debt, guarantees, and other commitments",Total exposure
"December 31, 2020",Nonconforming mortgage loan securitizations,$ —,"2,303",—,—,607,"34,2,944"
"December 31, 2020",Tax credit structures,"1,760",—,"11,362",—,—,"3,108,16,230"
"December 31, 2020",Commercial real estate loans,—,—,—,—,—,"—,—"
"December 31, 2020",Other,89,—,51,62,230,432
"December 31, 2020",Total,"$ 1,849","2,303","11,413",669,"3,372","19,606"
