,,Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability)
(in millions),Total VIE assets,Loans,Debt securities (1),Equity securities,All other assets (2),Debt and other liabilities,Net assets,
"December 31,2021",,,,,,,,
Nonconforming mortgage loan securitizations,"$146,482",1,"2,620",1,694,一,"3,314",
Tax credit structures,"44,528","1,904",1,"12,322",1,"(4,941)","9,285",
Commercial real estate loans,"5,489","5,481",1,1,8,1,"5,489",
Other,"3,196",531,3,62,49,(1),644,
Total,"$ 199,695","7,916","2,623","12,384",751,"(4,942)","18,732",
,,,,,,Maximum exposure to loss,,
,,,Debt,Equity,All other,"Debt, guarantees, and other",Total,
Nonconforming mortgage loan securitizations,$,Loans,"securities (1) 2,620",securities 1,assets (2) 694,commitments 27,"exposure 3,341",
Tax credit structures,,"1 1,904",1,"12,322",1,"3,730","17,956",
Commercial real estate loans,,"5,481",1,1,8,710,"6,199",
Other,,531,3,62,49,229,874,
Total,,"7,916","2,623","12,384",751,"4,696","28,370",
,,,,,,,Carrying value-asset (liability),
,Total,,Debt,Equity,All other,Debt and other,,
"(in millions) December 31,2020",VIE assets,Loans,securities (1),securities,assets (2),liabilities,Net assets,
Nonconforming mortgage loan securitizations,,,"2,303",,,,"2,909",
Tax credit structures,"$127,717","1,760",,"11,362",606,"(4,202)","8,920",
Commercial real estate loans,"41,125",,1,1,1,,,
Other,1,1 89,1,51,1,1,1,
Total,"1,991 $170,833","1,849","2,303",,62,(1),201,
,,,,"11,413",668,"(4,203)","12,030 Maximum exposure to loss",
,,,,,,"Debt, guarantees,",,
,,Loans,Debt securities (1),Equity securities,All other assets (2),and other commitments,Total exposure,
Nonconforming mortgage loan securitizations,$,丨,2.303,丨,607,34,2.944,
Tax credit structures,,"1,760",,"11,362",1,"3,108","16,230",
Commercial real estate loans,,1,,1,1,1,1,
Other,,89,,51,62,230,432,
Total,,"1,849","2,303","11,413",669,"3,372","19,606",
