,"December 31,","December 31,"
(in millions),2021,2020
Commercial:,,
Commercial and industrial,793,"1,933"
Real estate mortgage,543,774
Real estate construction,,15
Lease financing,2 10,9
Total commercial TDRs,"1,348","2,731"
Consumer:,,
Residential mortgage-first lien,"7,282","9,764"
Residential mortgage-junior lien,946,"1,237"
Credit card,309,458
Auto,169,176
Other consumer,57,67
Trial modifications,71,90
Total consumer TDRs,"8,834","11,792"
Total TDRs,"10,182","14,523"
TDRs on nonaccrual status,$ $,"4,456"
TDRs on accrual status:,"3,142",
Government insured/guaranteed,"2,462","3,721"
Non-governmentinsured/guaranteed,"4,578","6,346"
Total TDRs,,"14,523"
