,2021,2021,2021,2020,2020,2020,,,
,Before tax effect,Tax,Netof tax,Before tax,Tax effect,Netof tax,Before tax,Tax effect,2019 Netof tax
(in millions) Debt securities:,,,,,,,,,
Net unrealized gains (losses)arising during the period,"$(3,070)",759,"(2,311)","2,317",(570),"1,747","5,439","(1,337)","4,102"
Reclassification of net (gains)losses to net income:,,,,,,,,,
Interest income on debt securities (1),474,(117),357,532,(132),400,263,(65),198
Net gains on debt securities,(553),134,(419),(873),213,(660),(140),34,(106)
Other noninterest income,(3),1,(2),1,1,1,(1),,(1)
Subtotal reclassifications to net income,(82),,(64),,,,,1,
Net change,"(3,152)",18 777,"(2,375)","(341) 1,976",81 （489）,"(260) 1,487","122 5,561",(31),91
Derivatives and hedging activities:,,,,,,,,"(1,368)","4,193"
Fair Value Hedges:,,,,,,,,,
Change in fair value of excluded components on fair value hedges (2),81,(20),61,(31),7,(24),(3),1,(2)
Cash Flow Hedges:,,,,,,,,,
Net unrealized gains (losses) arising during the period on cash flow hedges,(12),3,（9),10,(2),8,(21),5,(16)
Reclassification of net (gains) losses to net income:,,,,,,,,,
Interest income on loans,137,(34),103,215,(53),162,291,(72),219
Interest expense on long-term debt,6,(2),4,4,(1),3,8,(2),6
Subtotal reclassifications to net income,143,(36),107,219,（54),165,299,（74),225
Net change,212,(53),159,198,（49),149,275,(68）,207
Defined benefit plans adjustments:,,,,,,,,,
Net actuarialand prior service gains (losses)arising during the period,200,（50),150,(510),126,(384),（40）,10,(30)
Reclassification ofamounts to noninterest expense (3):,,,,,,,,,
Amortization of net actuarial loss,135,(33),102,152,(37),115,141,(35),106
Settlements and other,126,(29),97,114,(26),88,(8),5,(3)
Subtotal reclasifications to noninterest expense,261,(62),199,266,（63）,203,133,（30）,103
Net change,461,(112),349,(244),63,(181),93,(20),73
Foreign currency translation adjustments:,,,,,,,,,
Net unrealized gains (losses)arising during the period,(30),1,(29),52,(2),50,73,(2),71
Reclassification of net (gains) losses to net income:,,,,,,,,,
Other noninterest income,(1),1,(1),,1,,,,1
Net change,(31),1,（30）,52,(2),50,73,(2),7
Other comprehensive income (loss),"$(2,510)",613,"(1,897)","1,982",（477),"1,505","6,002","(1,458)","4,544"
"Less: Other comprehensive loss from noncontrolling interests, net of tax",,,(1),,,二,,,二
"Wells Fargo other comprehensive income (loss), net of tax",,,"(1,896)",,,"1,505",,,"4,544"
