Year ended December 31,2021,Year ended December 31,2020
Commercial nonaccrual loans,"Balance, beginning of period","4,779","2,254"
Inflows,"2,113","7,232",
Outflows:,,,
Returned to accruing,"(1,003)",(385),
Foreclosures,(13),(37),
Charge-offs,(533),"(1,669)",
"Payments, sales and other","(2,967)","(2,616)",
Total outflows,"(4,516)","(4,707)",
"Balance, end of period","2,376","4,779",
Consumer nonaccrual loans,"Balance, beginning of period","3,949","3,092"
Inflows,"3,281","2,616",
Outflows:,,,
Returned to accruing,(828),(757),
Foreclosures,(69),(36),
Charge-offs (1),(252),(159),
"Payments, sales and other","(1,245)",(807),
Total outflows,"(2,394)","(1,759)",
"Balance, end of period","4,836","3,949",
Total nonaccrual loans,"7,212","8,728",
