,,,Primary modification type (1),Primary modification type (1),Primary modification type (1),Financial effects of modifications,Financial effects of modifications,Financial effects of modifications
,,Interest,,,,,Weighted average interest,Recorded investment relatedto
($ in millions),Principal forgiveness,,rate reduction,Other concessions (2),Total,Charge- offs(3),rate reduction,interestrate reduction (4)
"Year ended December 31,2021",,,,,,,,
Commercial:,$,,,,,,,
Commercial and industrial,,2,9,879,890,20,0.81%,9
Real estate mortgage,,41,15,256,312,一,1.28,14
Real estate construction,,,,3,3,,一,一
Lease financing,,,一,7,7,一,,一
Total commercial,,,24,"1,145","1,212",20,1.11,23
Consumer:,,,,,,,,
Residential mortgage-first lien,,,57,"1,286","1,343",2,1.60,57
Residential mortgage-junior lien,,,13,38,51,1,2.64,13
Credit card,,,106,1,106,1,19.12,106
Auto,,,4,131,136,54,3.82,4
Other consumer,,,18,1,19,1,11.83,18
Trial modifications (5),,,一,(3),(3),1,1,1
Total consumer,,1,198,"1,453","1,652",57,12.01,198
Total,$,44,222,"2,598","2,864",77,10.84%,221
"Year ended December31,2020",,,,,,,,
Commercial:,,,,,,,,
Commercial and industrial,,24,47,"2,971","3,042",162,0.74%,48
Real estate mortgage,,10,34,677,711,5,1.00,34
Real estate construction,,,1,7,18,1,4.29,1
Lease financing,,34,,1,1,,,
Total commercial,,,82,"3,656","3,772",167,0.90,83
Consumer:,,,,,,,,
Residential mortgage-first lien,,,14,"4,156","4,170",4,1.76,39
Residential mortgage-junior lien,,,11,121,132,3,2.45,12
Credit card,,,272,1,272,1,14.12,272
Auto,,4,6,166,176,93,4.65,6
Other consumer,,,23,34,57,1,8.28,23
Trial modifications (5),,,,3,3,,,
Total consumer,,4,326,"4,480","4,810",101,11.80,352
Total,$,38,408,"8,136","8,582",268,9.73%,435
"Year ended December 31,2019",,,,,,,,
Commercial: Commercial and industrial,,13,90,"1,286","1,389",104,0.40%,90
Real estate mortgage,,,38,417,455,,0.69,38
Real estate construction,,13,1,32,46,,1.00,1
,,,一,2,2,,,
Lease financing Total commercial,,,129,"1,737","1,892",,,一
Consumer:,,26,,,,104,0.49,129
,,,,,991,,,
Residential mortgage-first lien,,,13 37,978 87,124,2,2.04,68
Residential mortgage-junior lien Credit card,,,376,,376,3 一,2.35 12.91,39 376
