($ in millions),"Amortized cost, net (1)",Net unrealized gains,Fair value,Weighted average expected maturity (yrs)
Available-for-sale (2),175463,1781,177244,5.2
Held-to-maturity (3),272022,364,272386,6.3
Total,447485,2145,449630,n/a
"December 31, 2021",,,,
"Amortized cost, net (1)",215533,4859,220392,4.5
Net unrealized gains,,,,
Fair value,,,,
Weighted average expected maturity (yrs),,,,
Available-for-sale (2),205720,6587,212307,4.5
Held-to-maturity (3),205720,6587,212307,4.5
Total,421253,11446,432699,n/a
"December 31, 2020",,,,
