,,,$Change 2021/,%Change 2021/,,$Change 2020/,%Change 2020/
,2021,2020,2020,2020,2019,2019,2019
Income Statement,,,,,,,
Net interest income,"$ 22,807","23,378",(571),(2)%,"$25,786","(2,408)",(9)%
Noninterest income:,,,,,,,
Deposit-related fees,"3,045","2,904",141,5,"3,582",(678),(19)
Card fees,"3,930","3,318",612,18,"3,672",(354),(10)
Mortgage banking,"4,490","3,224","1,266",39,"2,314",910,39
Other,605,"1,192",(587),(49),"2,537","(1,345)",(53)
Total noninterest income,"12,070","10,638","1,432",13,"12,105","(1,467)",(12)
Total revenue,"34,877","34,016",861,3,"37,891","(3,875)",(10)
Net charge-offs,"1,439","1,875",(436),(23),"2,235",(360),(16)
Change in the allowance for credit losses,"(2,617)","3,787","(6,404)",NM,(51),"3,838",NM
Provision for credit losses,"(1,178)","5,662","(6,840)",NM,"2,184","3,478",159
Noninterest expense,"24,648","26,976","(2,328)",(9),"26,998",(22),1
Income before income tax expense,"11,407","1,378","10,029",728,"8,709","(7,331)",(84)
Income tax expense,"2,852",302,"2.,550",844,2.814,"(2,512)",(89)
Net income,"$8,555","1,076","7,479",695,"$ 5,895","(4,819)",(82)
Revenue by Line of Business,,,,,,,
Consumer and Small Business Banking,"$18,958","18,684",274,1,"$21,148","(2,464)",(12)
Consumer Lending:,,,,,,,
Home Lending,"8,154","7,875",279,4,"8,817",(942),(11)
Credit Card,"5,527","5,288",239,5,"5,707",(419),(7)
Auto,"1,733","1,575",158,10,"1,567",8,1
Personal Lending,505,594,(89),(15),652,(58),(9)
Total revenue,"$34,877","34,016",861,3,"$37,891","(3,875)",(10)
Selected Metrics,,,,,,,
Consumer Banking and Lending:,,,,,,,
Return on allocated capital (1),17.2%,1.6,,,12.1 %,,
Efficiency ratio (2),71,79,,,71,,
Headcount (#) (period-end),"112,913","125,034",,(10),"134,881",,(7)
Retail bank branches (#),"4,777","5,032",,(5),"5,352",,(6)
Digital active customers (# in millions) (3),33.0,32.0,,3,30.3,,6
Mobile active customers (# in millions) (3),27.3,26.0,,5,24.4,,7
Consumer and Small Business Banking:,,,,,,,
Deposit spread (4),1.5%,1.8,,,2.4%,,
Debit card purchase volume ($ in billions) (5),471.5,391.9,79.6,20,$ 367.6,24.3,7
Debit card purchase transactions (# in millions) (5),"9,808","8,792",,12,"9,189",,(4)
