"Dec 31,2021","Dec 31,2020"
Assets:,
Resale and securities borrowing agreements,
Gross amounts recognized,"$ 103,140"
Gross amounts offset in consolidated balance sheet (1),"(14,074)"
Net amounts in consolidated balance sheet (2),"89,066"
Collateral not recognized in consolidated balance sheet (3),"(88,330)"
Net amount (4),"$ 736,775"
Liabilities:,
Repurchase and securities lending agreements,
Gross amounts recognized,"$ 35,043"
Gross amounts offset in consolidated balance sheet (1),"(14,074)"
Net amounts in consolidated balance sheet (5),"20,969"
Collateral pledged but not netted in consolidated balance sheet (6),"(20,820)"
Net amount (4),"$ 149,290"
