,Less than l2 months Gross,Less than l2 months Gross,Less than l2 months Gross,12 months or more,12 months or more,12 months or more,Total
,unrealized losses,,Fair value,Gross unrealized losses,Fair value,Gross unrealized losses,Fair value
"(in millions) December 31,2021",,,,,,,
Available-for-sale debt securities:,,,,,,,
Securities of U.S.Treasury and federal agencies,$,(192),"24,418",1,1,(192),"24,418"
Non-U.S.government securities,,1,1,1,1,1,1
Securities of U.S.states and political subdivisions,,(36),"2,308",(15),532,(51),"2,840"
Federalagency mortgage-backed securities,,(334),"40,695",(248),"9,464",(582),"50,159"
Non-agency mortgage-backed securities,,(4),"1,966",(11),543,(15),"2,509"
Collateralized loan obligations,,(3),"1,619",(4),"1,242",(7),"2,861"
Other debt securities,,1,1,(7),624,(7),624
Totalavailable-for-sale debt securities,$,(569),"71,006",,"12,405",,
"December 31,2020",,,,(285),,(854),"83,411"
Available-for-sale debt securities:,,,,,,,
Securities of U.S.Treasury and federal agencies,$,1,1,,,1,
Non-U.S.government securities,,(3),"16,812",1,1,,1
Securities of U.S.states and political subdivisions,,(51),"3,681",1,"1 1,101",(3),"16,812"
Federalagency mortgage-backed securities,,(27),"11,310",(30）,316,(81) (28),"4,782 11,626"
Non-agency mortgage-backed securities,,(28),"1,366",(1) (18),534,(46),
Collateralized loan obligations,,(27),"5,082",(17),"1,798",(44),"1,900"
Other debt securities,,(16),647,(45),"1,604",(61),"6,880 2,251"
Total available-for-sale debt securities,$,(152),"38,898",(111),"5,353",(263),"44,251"
